setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
BRO,"Titania, Gaea Incarnate",mythic,0,G,Creature,"Elemental, Avatar",0,0,0,0,0,0,0,"Vigilance, reach, trample, haste\nTitania, Gaea Incarnate's power and toughness are each equal to the number of lands you control.\nWhen Titania enters the battlefield, return all land cards from your graveyard to the battlefield tapped.\n{3}{G}: Put four +1/+1 counters on target land you control. It becomes a 0/0 Elemental creature with haste. It's still a land."
BRO,Rust Goliath,common,{10},G,"Artifact, Creature",Construct,10,10,0,0,0,0,0,"Prototype {3}{G}{G} — 3/5 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\nReach, trample"
BRO,Depth Charge Colossus,common,{9},U,"Artifact, Creature",Dreadnought,9,9,0,0,0,0,0,"Prototype {4}{U}{U} — 6/6 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\nDepth Charge Colossus doesn't untap during your untap step.\n{3}: Untap Depth Charge Colossus."
BRO,"Mishra, Lost to Phyrexia",mythic,0,"B, R","Artifact, Creature","Phyrexian, Artificer",9,9,0,0,0,0,0,"Whenever Mishra, Lost to Phyrexia enters the battlefield or attacks, choose three —\n• Target opponent discards two cards.\n• Mishra deals 3 damage to any target.\n• Destroy target artifact or planeswalker.\n• Creatures you control gain menace and trample until end of turn.\n• Creatures you don't control get -1/-1 until end of turn.\n• Create two tapped Powerstone tokens."
BRO,Cityscape Leveler,mythic,{8},0,"Artifact, Creature",Construct,8,8,0,0,0,0,0,"Trample\nWhen you cast this spell and whenever Cityscape Leveler attacks, destroy up to one target nonland permanent. Its controller creates a tapped Powerstone token.\nUnearth {8}"
BRO,Heavyweight Demolisher,uncommon,{7},R,"Artifact, Creature",Construct,8,6,0,0,0,0,0,"Menace\nAt the beginning of your upkeep, tap Heavyweight Demolisher unless you pay {3}.\nUnearth {6}{R}{R} ({6}{R}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)"
BRO,Su-Chi Cave Guard,uncommon,{8},0,"Artifact, Creature",Construct,8,8,0,0,0,0,0,"Vigilance\nWard {4} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {4}.)\nWhen Su-Chi Cave Guard dies, add eight {C}. Until end of turn, you don't lose this mana as steps and phases end."
BRO,Woodcaller Automaton,rare,{10},G,"Artifact, Creature",Construct,8,8,0,0,0,0,0,"Prototype {2}{G}{G} — 3/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\nWhen Woodcaller Automaton enters the battlefield, if you cast it, untap target land you control. It becomes a Treefolk creature with haste and base power and toughness equal to Woodcaller Automaton's power and toughness. It's still a land."
BRO,Hulking Metamorph,uncommon,{9},U,"Artifact, Creature",Shapeshifter,7,7,0,0,0,0,0,"Prototype {2}{U}{U} — 3/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\nYou may have Hulking Metamorph enter the battlefield as a copy of an artifact or creature you control, except it's an artifact creature in addition to its other types, and its power and toughness are equal to Hulking Metamorph's power and toughness."
BRO,Phyrexian Fleshgorger,mythic,{7},B,"Artifact, Creature","Phyrexian, Wurm",7,5,1,1,0,0,0,"Prototype {1}{B}{B} — 3/3 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\nMenace, lifelink\nWard—Pay life equal to Phyrexian Fleshgorger's power."
BRO,Sarinth Greatwurm,mythic,{4}{R}{G},"G, R",Creature,Wurm,7,6,0,0,0,0,0,"Trample\nWhenever a land enters the battlefield, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")"
BRO,Blitz Automaton,common,{7},R,"Artifact, Creature",Construct,6,4,0,0,0,0,0,"Prototype {2}{R} — 3/2 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)\nHaste"
