setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
DMU,Urborg Lhurgoyf,rare,{1}{G},"B, G, U",Creature,Lhurgoyf,0,0,0,0,0,0,0,"Kicker {U} and/or {B} (You may pay an additional {U} and/or {B} as you cast this spell.)\nAs Urborg Lhurgoyf enters the battlefield, mill three cards for each time it was kicked.\nUrborg Lhurgoyf's power is equal to the number of creature cards in your graveyard and its toughness is equal to that number plus 1."
DMU,Monstrous War-Leech,uncommon,{3}{B},"B, U",Creature,"Leech, Horror",0,0,1,1,0,0,0,"Kicker {U} (You may pay an additional {U} as you cast this spell.)\nAs Monstrous War-Leech enters the battlefield, if it was kicked, mill four cards. (To mill a card, put the top card of your library into your graveyard.)\nMonstrous War-Leech's power and toughness are each equal to the highest mana value among cards in your graveyard."
DMU,Queen Allenal of Ruadach,uncommon,{G}{W}{W},"G, W",Creature,"Elf, Noble",0,0,4,4,0,0,0,"Queen Allenal of Ruadach's power and toughness are each equal to the number of creatures you control.\nIf one or more creature tokens would be created under your control, those tokens plus a 1/1 white Soldier creature token are created instead."
DMU,Territorial Maro,uncommon,{4}{G},G,Creature,Elemental,0,0,2,0,2,0,0,Domain â€” Territorial Maro's power and toughness are each equal to twice the number of basic land types among lands you control.
DMU,Mossbeard Ancient,uncommon,{5}{G}{G},G,Creature,Treefolk,7,7,1,0,1,0,0,"Trample\nWhen Mossbeard Ancient enters the battlefield, you gain 5 life."
DMU,Silverback Elder,mythic,{2}{G}{G}{G},G,Creature,"Ape, Shaman",5,7,0,0,0,0,0,"Whenever you cast a creature spell, choose one â€”\nâ€¢ Destroy target artifact or enchantment.\nâ€¢ Look at the top five cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order.\nâ€¢ You gain 4 life."
DMU,Briar Hydra,rare,{5}{G},G,Creature,"Plant, Hydra",6,6,0,0,0,0,0,"Trample\nDomain â€” Whenever Briar Hydra deals combat damage to a player, put X +1/+1 counters on target creature you control, where X is the number of basic land types among lands you control."
DMU,Defiler of Vigor,rare,{3}{G}{G},G,Creature,"Phyrexian, Wurm",6,6,0,0,0,0,0,"Trample\nAs an additional cost to cast green permanent spells, you may pay 2 life. Those spells cost {G} less to cast if you paid life this way. This effect reduces only the amount of green mana you pay.\nWhenever you cast a green permanent spell, put a +1/+1 counter on each creature you control."
DMU,Golden Argosy,rare,{4},0,Artifact,Vehicle,3,6,1,1,0,0,0,"Whenever Golden Argosy attacks, exile each creature that crewed it this turn. Return them to the battlefield tapped under their owner's control at the beginning of the next end step.\nCrew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)"
DMU,Tyrannical Pitlord,rare,{4}{B}{B},B,Creature,Demon,6,6,1,1,0,0,0,"Flying, trample\nAs Tyrannical Pitlord enters the battlefield, choose another creature you control.\nThe chosen creature gets +3/+3 and has flying.\nWhen Tyrannical Pitlord leaves the battlefield, sacrifice the chosen creature."
DMU,Yavimaya Sojourner,common,{7}{G},G,Creature,Treefolk,4,6,4,4,0,0,1,Domain â€” This spell costs {1} less to cast for each basic land type among lands you control.
DMU,Academy Wall,common,{2}{U},U,Creature,Wall,0,5,2,0,2,0,1,"Defender\nWhenever you cast an instant or sorcery spell, you may draw a card. If you do, discard a card. This ability triggers only once each turn."
DMU,Barkweave Crusher,common,{3}{G},G,Creature,"Elemental, Warrior",2,5,2,0,2,0,0,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)"
DMU,Defiler of Faith,rare,{3}{W}{W},W,Creature,"Phyrexian, Human",5,5,1,1,0,0,0,"Vigilance\nAs an additional cost to cast white permanent spells, you may pay 2 life. Those spells cost {W} less to cast if you paid life this way. This effect reduces only the amount of white mana you pay.\nWhenever you cast a white permanent spell, create a 1/1 white Soldier creature token."
DMU,"Jodah, the Unifier",mythic,{W}{U}{B}{R}{G},"B, G, R, U, W",Creature,"Human, Wizard",5,5,1,1,0,0,0,"Legendary creatures you control get +X/+X, where X is the number of legendary creatures you control.\nWhenever you cast a legendary spell from your hand, exile cards from the top of your library until you exile a legendary nonland card with lesser mana value. You may cast that card without paying its mana cost. Put the rest on the bottom of your library in a random order."
DMU,Linebreaker Baloth,uncommon,{3}{G}{G},G,Creature,Beast,4,5,2,2,0,0,0,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)\nLinebreaker Baloth can't be blocked by creatures with power 2 or less."
DMU,Molten Monstrosity,common,{7}{R},R,Creature,Hellion,5,5,2,0,2,0,0,"This spell costs {X} less to cast, where X is the greatest power among creatures you control.\nTrample"
DMU,"Rith, Liberated Primeval",mythic,{2}{R}{G}{W},"G, R, W",Creature,Dragon,5,5,0,0,0,0,0,"Flying, ward {2}\nOther Dragons you control have ward {2}.\nAt the beginning of your end step, if a creature or planeswalker an opponent controlled was dealt excess damage this turn, create a 4/4 red Dragon creature token with flying."
DMU,"Sheoldred, the Apocalypse",mythic,{2}{B}{B},B,Creature,"Phyrexian, Praetor",4,5,0,0,0,0,0,"Deathtouch\nWhenever you draw a card, you gain 2 life.\nWhenever an opponent draws a card, they lose 2 life."
DMU,Sol'Kanar the Tainted,mythic,{2}{U}{B}{R},"B, R, U",Creature,"Elemental, Demon",5,5,0,0,0,0,0,"At the beginning of your end step, choose one that hasn't been chosen â€”\nâ€¢ Draw a card.\nâ€¢ Each opponent loses 2 life and you gain 2 life.\nâ€¢ Sol'Kanar the Tainted deals 3 damage to up to one other target creature or planeswalker.\nâ€¢ Exile Sol'Kanar, then return it to the battlefield under an opponent's control."
DMU,Sphinx of Clear Skies,mythic,{3}{U}{U},U,Creature,Sphinx,5,5,0,0,0,0,0,"Flying, ward {2}\nDomain â€” Whenever Sphinx of Clear Skies deals combat damage to a player, reveal the top X cards of your library, where X is the number of basic land types among lands you control. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard. (Piles can be empty.)"
DMU,Tidepool Turtle,common,{3}{U},U,Creature,Turtle,2,5,1,0,1,0,0,{2}{U}: Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
DMU,Tolarian Terror,common,{6}{U},U,Creature,Serpent,5,5,3,2,1,0,1,"This spell costs {1} less to cast for each instant and sorcery card in your graveyard.\nWard {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)"
DMU,"Uurg, Spawn of Turg",uncommon,{B}{B}{G},"B, G",Creature,"Frog, Beast",0,5,3,0,3,0,0,"Uurg, Spawn of Turg's power is equal to the number of land cards in your graveyard.\nAt the beginning of your upkeep, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)\n{B}{G}, Sacrifice a land: You gain 2 life."
DMU,Weatherlight Compleated,mythic,{2},0,Artifact,Vehicle,5,5,0,0,0,0,0,"Flying\nAs long as Weatherlight Compleated has four or more phyresis counters on it, it's a Phyrexian creature in addition to its other types.\nWhenever a creature you control dies, put a phyresis counter on Weatherlight Compleated. Then draw a card if it has seven or more phyresis counters on it. If it doesn't, scry 1."
DMU,Writhing Necromass,common,{6}{B},B,Creature,"Zombie, Giant",5,5,2,0,2,0,0,This spell costs {1} less to cast for each creature card in your graveyard.\nDeathtouch
DMU,Archangel of Wrath,rare,{2}{W}{W},"B, R, W",Creature,Angel,3,4,0,0,0,0,0,"Kicker {B} and/or {R} (You may pay an additional {B} and/or {R} as you cast this spell.)\nFlying, lifelink\nWhen Archangel of Wrath enters the battlefield, if it was kicked, it deals 2 damage to any target.\nWhen Archangel of Wrath enters the battlefield, if it was kicked twice, it deals 2 damage to any target."
DMU,Argivian Phalanx,common,{5}{W},W,Creature,"Human, Kor, Soldier",4,4,1,0,1,0,0,This spell costs {1} less to cast for each creature you control.\nVigilance
DMU,"Astor, Bearer of Blades",rare,{2}{R}{W},"R, W",Creature,"Human, Warrior",4,4,1,1,0,0,0,"When Astor, Bearer of Blades enters the battlefield, look at the top seven cards of your library. You may reveal an Equipment or Vehicle card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.\nEquipment you control have equip {1}.\nVehicles you control have crew 1."
DMU,Bortuk Bonerattle,uncommon,{4}{B}{G},"B, G",Creature,"Troll, Shaman",4,4,3,0,3,0,0,"Domain â€” When Bortuk Bonerattle enters the battlefield, if you cast it, choose target creature card in your graveyard. Return that card to the battlefield if its mana value is less than or equal to the number of basic land types among lands you control. Otherwise, put it into your hand."
DMU,Coalition Warbrute,common,{3}{R},R,Creature,"Minotaur, Berserker",3,4,2,2,0,0,0,"Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.)\nTrample"
DMU,Coral Colony,uncommon,{1}{U},U,Creature,Wall,1,4,1,1,0,0,0,"Defender\n{1}{U}, {T}: Target player mills X cards, where X is the number of creatures you control with defender. (To mill a card, a player puts the top card of their library into their graveyard.)"
DMU,"Danitha, Benalia's Hope",rare,{4}{W},W,Creature,"Human, Knight",4,4,1,1,0,0,0,"First strike, vigilance, lifelink\nWhen Danitha, Benalia's Hope enters the battlefield, you may put an Aura or Equipment card from your hand or graveyard onto the battlefield attached to Danitha."
DMU,Defiler of Flesh,rare,{2}{B}{B},B,Creature,"Phyrexian, Horror",4,4,2,2,0,0,1,"Menace\nAs an additional cost to cast black permanent spells, you may pay 2 life. Those spells cost {B} less to cast if you paid life this way. This effect reduces only the amount of black mana you pay.\nWhenever you cast a black permanent spell, target creature you control gets +1/+1 and gains menace until end of turn."
DMU,Defiler of Instinct,rare,{2}{R}{R},R,Creature,"Phyrexian, Kavu",4,4,1,1,0,0,0,"First strike\nAs an additional cost to cast red permanent spells, you may pay 2 life. Those spells cost {R} less to cast if you paid life this way. This effect reduces only the amount of red mana you pay.\nWhenever you cast a red permanent spell, Defiler of Instinct deals 1 damage to any target."
DMU,Djinn of the Fountain,uncommon,{4}{U}{U},U,Creature,Djinn,4,4,2,0,2,0,0,"Flying\nWhenever you cast an instant or sorcery spell, choose one â€”\nâ€¢ Djinn of the Fountain gets +1/+1 until end of turn.\nâ€¢ Exile Djinn of the Fountain. Return it to the battlefield under its owner's control at the beginning of the next end step.\nâ€¢ Scry 1."
DMU,Elfhame Wurm,common,{4}{G},G,Creature,Wurm,5,4,2,0,2,0,0,"Vigilance, trample"
DMU,Frostfist Strider,uncommon,{3}{U}{U},U,Creature,"Elemental, Giant",4,4,1,1,0,0,0,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)\nWhen Frostfist Strider enters the battlefield, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)"
DMU,Gibbering Barricade,common,{2}{B},B,Creature,"Nightmare, Wall",2,4,1,0,1,0,0,"Defender\n{2}{B}, Sacrifice a creature: You gain 1 life and draw a card."
