setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
ELD,A-Cauldron Familiar,uncommon,{B},B,Creature,Cat,1,1,0,0,0,0,0,"A-Cauldron Familiar can't block.\nWhen Cauldron Familiar enters the battlefield, each opponent loses 1 life and you gain 1 life.\nSacrifice a Food: Return Cauldron Familiar from your graveyard to the battlefield."
ELD,Acclaimed Contender,rare,{2}{W},W,Creature,"Human, Knight",3,3,0,0,0,0,0,"When Acclaimed Contender enters the battlefield, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
ELD,A-Fires of Invention,rare,{4}{R},R,Enchantment,0,0,0,0,0,0,0,0,You can cast spells only during your turn and you can cast no more than two spells each turn.\nYou may cast spells with mana value less than or equal to the number of lands you control without paying their mana costs.
ELD,"Alela, Artful Provocateur",mythic,{1}{W}{U}{B},"B, U, W",Creature,"Faerie, Warlock",2,3,0,0,0,0,0,"Flying, deathtouch, lifelink\nOther creatures you control with flying get +1/+0.\nWhenever you cast an artifact or enchantment spell, create a 1/1 blue Faerie creature token with flying."
ELD,All That Glitters,uncommon,{1}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,Enchant creature\nEnchanted creature gets +1/+1 for each artifact and/or enchantment you control.
ELD,Animating Faerie // Bring to Life,uncommon,{2}{U},U,Creature,Faerie,2,2,0,0,0,0,0,Flying
ELD,Arcane Signet,common,{2},0,Artifact,0,0,0,0,0,0,0,0,{T}: Add one mana of any color in your commander's color identity.
ELD,Arcanist's Owl,uncommon,{W/U}{W/U}{W/U}{W/U},"U, W","Artifact, Creature",Bird,3,3,0,0,0,0,0,"Flying\nWhen Arcanist's Owl enters the battlefield, look at the top four cards of your library. You may reveal an artifact or enchantment card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
ELD,Archon of Absolution,uncommon,{3}{W},W,Creature,Archon,3,2,0,0,0,0,0,"Flying\nProtection from white (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything white.)\nCreatures can't attack you or planeswalkers you control unless their controller pays {1} for each of those creatures."
ELD,Ardenvale Paladin,common,{3}{W},W,Creature,"Human, Knight",2,5,2,0,2,0,0,"Adamant — If at least three white mana was spent to cast this spell, Ardenvale Paladin enters the battlefield with a +1/+1 counter on it."
ELD,Ardenvale Tactician // Dizzying Swoop,common,{1}{W}{W},W,Creature,"Human, Knight",2,3,0,0,0,0,0,Flying
ELD,"Ayara, First of Locthwain",rare,{B}{B}{B},B,Creature,"Elf, Noble",2,3,0,0,0,0,0,"Whenever Ayara, First of Locthwain or another black creature enters the battlefield under your control, each opponent loses 1 life and you gain 1 life.\n{T}, Sacrifice another black creature: Draw a card."
ELD,Bake into a Pie,common,{2}{B}{B},B,Instant,0,0,0,2,0,2,0,0,"Destroy target creature. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")"
ELD,Banish into Fable,rare,{4}{W}{U},"U, W",Instant,0,0,0,0,0,0,0,0,"When you cast this spell from your hand, copy it if you control an artifact, then copy it if you control an enchantment. You may choose new targets for the copies.\nReturn target nonland permanent to its owner's hand. You create a 2/2 white Knight creature token with vigilance."
ELD,Barge In,common,{R},R,Instant,0,0,0,3,0,3,0,0,Target attacking creature gets +2/+2 until end of turn. Each attacking non-Human creature gains trample until end of turn.
ELD,Barrow Witches,common,{4}{B},B,Creature,"Human, Warlock",3,4,0,0,0,0,0,"When Barrow Witches enters the battlefield, return target Knight card from your graveyard to your hand."
