setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
MID,Consuming Blob,mythic,{3}{G}{G},G,Creature,Ooze,0,0,0,0,0,0,0,"Consuming Blob's power is equal to the number of card types among cards in your graveyard and its toughness is equal to that number plus 1.\nAt the beginning of your end step, create a green Ooze creature token with ""This creature's power is equal to the number of card types among cards in your graveyard and its toughness is equal to that number plus 1."""
MID,Old Stickfingers,rare,{X}{B}{G},"B, G",Creature,Horror,0,0,0,0,0,0,0,"When you cast this spell, reveal cards from the top of your library until you reveal X creature cards. Put all creature cards revealed this way into your graveyard, then put the rest on the bottom of your library in a random order.\nOld Stickfingers's power and toughness are each equal to the number of creature cards in your graveyard."
MID,Morkrut Behemoth,common,{4}{B},B,Creature,"Zombie, Giant",7,6,1,0,1,0,0,"As an additional cost to cast this spell, sacrifice a creature or pay {1}{B}.\nMenace (This creature can't be blocked except by two or more creatures.)"
MID,Burly Breaker // Dire-Strain Demolisher,uncommon,{3}{G}{G},G,Creature,"Human, Werewolf",6,5,2,0,1,1,1,"Ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)"
MID,Dreadhound,uncommon,{4}{B}{B},B,Creature,"Demon, Dog",6,6,0,0,0,0,0,"When Dreadhound enters the battlefield, mill three cards. (Put the top three cards of your library into your graveyard.)\nWhenever a creature dies or a creature card is put into a graveyard from a library, each opponent loses 1 life."
MID,Lord of the Forsaken,mythic,{4}{B}{B},B,Creature,Demon,6,6,0,0,0,0,0,"Flying, trample\n{B}, Sacrifice another creature: Target player mills three cards.\nPay 1 life: Add {C}. Spend this mana only to cast a spell from your graveyard."
MID,Tovolar's Huntmaster // Tovolar's Packleader,rare,{4}{G}{G},G,Creature,"Human, Werewolf",6,6,0,0,0,0,0,"When Tovolar's Huntmaster enters the battlefield, create two 2/2 green Wolf creature tokens.\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)"
MID,Candlelit Cavalry,common,{4}{G},G,Creature,"Human, Knight",5,5,1,0,1,0,1,"Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, Candlelit Cavalry gains trample until end of turn."
MID,Mounted Dreadknight,common,{4}{R},R,Creature,"Vampire, Knight",5,4,2,0,2,0,0,Trample\nMounted Dreadknight enters the battlefield with a +1/+1 counter on it if an opponent lost life this turn.
MID,Sludge Monster,rare,{3}{U}{U},U,Creature,Horror,5,5,0,0,0,0,0,"Whenever Sludge Monster enters the battlefield or attacks, put a slime counter on up to one other target creature.\nNon-Horror creatures with slime counters on them lose all abilities and have base power and toughness 2/2."
MID,A-Phantom Carriage,uncommon,{2}{U}{U},U,Creature,Spirit,4,4,0,0,0,0,0,"Flying\nWhen Phantom Carriage enters the battlefield, you may search your library for a card with flashback or disturb, put it into your graveyard, then shuffle."
MID,Baneblade Scoundrel // Baneclaw Marauder,uncommon,{3}{B},B,Creature,"Human, Rogue, Werewolf",4,3,0,0,0,0,0,"Whenever Baneblade Scoundrel becomes blocked, each creature blocking it gets -1/-1 until end of turn.\nDaybound (If a player casts no spells during their own turn, it becomes night next turn.)"
MID,Bat Whisperer,common,{3}{B},B,Creature,Vampire,4,2,2,0,2,0,0,"When Bat Whisperer enters the battlefield, if an opponent lost life this turn, create a 1/1 black Bat creature token with flying."
MID,Famished Foragers,common,{3}{R},R,Creature,Vampire,4,3,4,0,4,0,0,"When Famished Foragers enters the battlefield, if an opponent lost life this turn, add {R}{R}{R}.\n{2}{R}, Discard a card: Draw a card."
MID,"Gisa, Glorious Resurrector",rare,{2}{B}{B},B,Creature,"Human, Wizard",4,4,0,0,0,0,0,"If a creature an opponent controls would die, exile it instead.\nAt the beginning of your upkeep, put all creature cards exiled with Gisa, Glorious Resurrector onto the battlefield under your control. They gain decayed. (A creature with decayed can't block. When it attacks, sacrifice it at end of combat.)"
