setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
MOM,Aerial Boost,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nTarget creature gets +2/+2 and gains flying until end of turn.
MOM,Aetherblade Agent // Gitaxian Mindstinger,common,{1}{B},"B, U",Creature,"Human, Rogue",1,1,0,0,0,0,0,Deathtouch\n{4}{U/P}: Transform Aetherblade Agent. Activate only as a sorcery. ({U/P} can be paid with either {U} or 2 life.)
MOM,Akki Scrapchomper,common,{R},R,Creature,"Phyrexian, Goblin",1,1,0,0,0,0,0,"{1}{R}, {T}, Sacrifice an artifact or land: Draw a card."
MOM,Alabaster Host Intercessor,common,{5}{W},W,Creature,"Phyrexian, Samurai",3,4,0,0,0,0,0,"When Alabaster Host Intercessor enters the battlefield, exile target creature an opponent controls until Alabaster Host Intercessor leaves the battlefield.\nPlainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)"
MOM,Alabaster Host Sanctifier,common,{1}{W},W,Creature,"Phyrexian, Cleric",2,2,0,0,0,0,0,Lifelink
MOM,Ancient Imperiosaur,rare,{5}{G}{G},G,Creature,Dinosaur,6,6,0,0,0,0,0,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nTrample, ward {2}\nAncient Imperiosaur enters the battlefield with two +1/+1 counters on it for each creature that convoked it."
MOM,Angelic Intervention,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,"Target creature or planeswalker you control gains protection from colorless or from the color of your choice until end of turn. If it's a creature, put a +1/+1 counter on it. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything with that quality.)"
MOM,Arachnoid Adaptation,common,{G},G,Instant,0,0,0,0,0,0,0,0,Target creature gets +2/+2 and gains reach until end of turn. Untap it.
MOM,Archangel Elspeth,mythic,{2}{W}{W},W,Planeswalker,Elspeth,0,0,0,0,0,0,0,[+1]: Create a 1/1 white Soldier creature token with lifelink.\n[−2]: Put two +1/+1 counters on target creature. It becomes an Angel in addition to its other types and gains flying.\n[−6]: Return all nonland permanent cards with mana value 3 or less from your graveyard to the battlefield.
MOM,Archpriest of Shadows,rare,{3}{B}{B},B,Creature,"Human, Warlock",4,4,0,0,0,0,0,"Backup 1 (When this creature enters the battlefield, put a +1/+1 counter on target creature. If that's another creature, it gains the following abilities until end of turn.)\nDeathtouch\nWhenever this creature deals combat damage to a player or battle, return target creature card from your graveyard to the battlefield."
MOM,Artistic Refusal,uncommon,{4}{U}{U},U,Instant,0,0,0,0,0,0,0,0,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nChoose one or both —\n• Counter target spell.\n• Draw two cards, then discard a card."
