setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
ONE,Adaptive Sporesinger,common,{2}{G},G,Creature,"Phyrexian, Druid",2,2,1,1,0,0,0,"Vigilance\nWhen Adaptive Sporesinger enters the battlefield, choose one —\n• Target creature gets +2/+2 and gains vigilance until end of turn.\n• Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
ONE,Against All Odds,uncommon,{3}{W},W,Sorcery,0,0,0,1,0,1,0,0,"Choose one or both —\n• Exile target artifact or creature you control, then return it to the battlefield under its owner's control.\n• Return target artifact or creature card with mana value 3 or less from your graveyard to the battlefield."
ONE,All Will Be One,mythic,{3}{R}{R},R,Enchantment,0,0,0,0,0,0,0,0,"Whenever you put one or more counters on a permanent or player, All Will Be One deals that much damage to target opponent, creature an opponent controls, or planeswalker an opponent controls."
ONE,Ambulatory Edifice,uncommon,{2}{B},B,"Artifact, Creature","Phyrexian, Construct",3,2,2,2,0,0,0,"When Ambulatory Edifice enters the battlefield, you may pay 2 life. When you do, target creature gets -1/-1 until end of turn."
ONE,Annex Sentry,uncommon,{2}{W},W,"Artifact, Creature","Phyrexian, Cleric",1,4,2,0,2,0,0,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)\nWhen Annex Sentry enters the battlefield, exile target artifact or creature an opponent controls with mana value 3 or less until Annex Sentry leaves the battlefield."
ONE,Annihilating Glare,common,{B},B,Sorcery,0,0,0,2,0,2,0,0,"As an additional cost to cast this spell, pay {4} or sacrifice an artifact or creature.\nDestroy target creature or planeswalker."
ONE,Anoint with Affliction,common,{1}{B},B,Instant,0,0,0,1,0,1,0,0,Exile target creature if it has mana value 3 or less.\nCorrupted — Exile that creature instead if its controller has three or more poison counters.
ONE,Apostle of Invasion,uncommon,{4}{W}{W},W,Creature,"Phyrexian, Angel",4,4,1,1,0,0,0,"Flying\nCorrupted — As long as an opponent has three or more poison counters, Apostle of Invasion has double strike."
ONE,Archfiend of the Dross,rare,{2}{B}{B},B,Creature,"Phyrexian, Demon",6,6,0,0,0,0,0,"Flying\nArchfiend of the Dross enters the battlefield with four oil counters on it.\nAt the beginning of your upkeep, remove an oil counter from Archfiend of the Dross. Then if it has no oil counters on it, you lose the game.\nWhenever a creature an opponent controls dies, its controller loses 2 life."
ONE,Argentum Masticore,rare,{5},0,"Artifact, Creature","Phyrexian, Masticore",5,5,1,1,0,0,0,"First strike, protection from multicolored\nAt the beginning of your upkeep, sacrifice Argentum Masticore unless you discard a card. When you discard a card this way, destroy target nonland permanent an opponent controls with mana value less than or equal to the mana value of the discarded card."
ONE,Armored Scrapgorger,uncommon,{1}{G},G,Creature,"Phyrexian, Beast",0,3,2,2,0,0,0,"Armored Scrapgorger gets +3/+0 as long as it has three or more oil counters on it.\n{T}: Add one mana of any color.\nWhenever Armored Scrapgorger becomes tapped, exile target card from a graveyard and put an oil counter on Armored Scrapgorger."
ONE,Aspirant's Ascent,common,{U},U,Instant,0,0,0,1,0,1,0,0,"Until end of turn, target creature gets +1/+3 and gains flying and toxic 1. (Players dealt combat damage by that creature also get a poison counter.)"
ONE,Atmosphere Surgeon,uncommon,{1}{U},U,Creature,"Phyrexian, Wizard",2,1,1,1,0,0,0,"Whenever you cast a noncreature spell, put an oil counter on Atmosphere Surgeon.\nRemove an oil counter from Atmosphere Surgeon: Target creature gains flying until end of turn. Activate only as a sorcery."
ONE,"Atraxa, Grand Unifier",mythic,{3}{G}{W}{U}{B},"B, G, U, W",Creature,"Phyrexian, Angel",7,7,1,1,0,0,0,"Flying, vigilance, deathtouch, lifelink\nWhen Atraxa, Grand Unifier enters the battlefield, reveal the top ten cards of your library. For each card type, you may put a card of that type from among the revealed cards into your hand. Put the rest on the bottom of your library in a random order. (Artifact, battle, creature, enchantment, instant, land, planeswalker, and sorcery are card types.)"
ONE,Atraxa's Skitterfang,uncommon,{3},0,"Artifact, Creature","Phyrexian, Insect",2,2,3,3,0,0,1,"Atraxa's Skitterfang enters the battlefield with three oil counters on it.\nAt the beginning of combat on your turn, you may remove an oil counter from Atraxa's Skitterfang. When you do, target creature you control gains your choice of flying, vigilance, deathtouch, or lifelink until end of turn."
ONE,Awaken the Sleeper,uncommon,{3}{R},R,Sorcery,0,0,0,1,1,0,0,0,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. If it's equipped, you may destroy all Equipment attached to that creature."
ONE,Axiom Engraver,common,{1}{R},R,Creature,"Phyrexian, Wizard",1,3,1,0,1,0,0,"Axiom Engraver enters the battlefield with two oil counters on it.\n{T}, Remove an oil counter from Axiom Engraver, Discard a card: Draw a card."
ONE,Barbed Batterfist,common,{1}{R},R,Artifact,Equipment,0,0,1,0,1,0,0,"For Mirrodin! (When this Equipment enters the battlefield, create a 2/2 red Rebel creature token, then attach this to it.)\nEquipped creature gets +1/-1.\nEquip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)"
ONE,Basilica Shepherd,common,{3}{W}{W},W,Creature,"Phyrexian, Angel",3,3,1,0,1,0,0,"Flying\nWhen Basilica Shepherd enters the battlefield, create two 1/1 colorless Phyrexian Mite artifact creature tokens with toxic 1 and ""This creature can't block."" (Players dealt combat damage by them also get a poison counter.)"
ONE,Basilica Skullbomb,common,{1},W,Artifact,0,0,0,2,0,2,0,0,"{1}, Sacrifice Basilica Skullbomb: Draw a card.\n{2}{W}, Sacrifice Basilica Skullbomb: Target creature you control gets +2/+2 and gains flying until end of turn. Draw a card. Activate only as a sorcery."
ONE,Bilious Skulldweller,uncommon,{B},B,Creature,"Phyrexian, Insect",1,1,1,1,0,0,0,Deathtouch\nToxic 1 (Players dealt combat damage by this creature also get a poison counter.)
ONE,Black Sun's Twilight,rare,{X}{B},B,Instant,0,0,0,1,1,0,0,0,"Up to one target creature gets -X/-X until end of turn. If X is 5 or more, return a creature card with mana value X or less from your graveyard to the battlefield tapped."
ONE,Blackcleave Cliffs,rare,0,"B, R",Land,0,0,0,0,0,0,0,0,Blackcleave Cliffs enters the battlefield tapped unless you control two or fewer other lands.\n{T}: Add {B} or {R}.
ONE,Blade of Shared Souls,rare,{2}{U},U,Artifact,Equipment,0,0,1,1,0,0,0,"For Mirrodin! (When this Equipment enters the battlefield, create a 2/2 red Rebel creature token, then attach this to it.)\nWhenever Blade of Shared Souls becomes attached to a creature, for as long as Blade of Shared Souls remains attached to it, you may have that creature become a copy of another target creature you control.\nEquip {2}"
ONE,Bladed Ambassador,uncommon,{1}{W},W,Creature,"Phyrexian, Soldier",3,1,5,5,0,0,1,"Bladed Ambassador enters the battlefield with an oil counter on it.\n{1}, Remove an oil counter from Bladed Ambassador: Bladed Ambassador gains indestructible until end of turn."
