setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
SNC,Unlicensed Hearse,rare,{2},0,Artifact,Vehicle,0,0,0,0,0,0,0,{T}: Exile up to two target cards from a single graveyard.\nUnlicensed Hearse's power and toughness are each equal to the number of cards exiled with it.\nCrew 2
SNC,A-Capenna Express,common,{3}{G},G,Artifact,Vehicle,7,7,0,0,0,0,0,Sacrifice a Treasure: Capenna Express becomes an artifact creature until end of turn.\nCrew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)
SNC,Shadow of Mortality,rare,{13}{B}{B},B,Creature,Avatar,7,7,0,0,0,0,0,"If your life total is less than your starting life total, this spell costs {X} less to cast, where X is the difference."
SNC,Titan of Industry,mythic,{4}{G}{G}{G},G,Creature,Elemental,7,7,0,0,0,0,0,"Reach, trample\nWhen Titan of Industry enters the battlefield, choose two —\n• Destroy target artifact or enchantment.\n• Target player gains 5 life.\n• Create a 4/4 green Rhino Warrior creature token.\n• Put a shield counter on a creature you control."
SNC,Capenna Express,common,{3}{G},G,Artifact,Vehicle,6,6,0,0,0,0,0,Sacrifice a Treasure: Capenna Express becomes an artifact creature until end of turn.\nCrew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)
SNC,Cleanup Crew,uncommon,{4}{G}{G},G,Creature,"Human, Citizen",6,6,2,2,0,0,0,"When Cleanup Crew enters the battlefield, choose one —\n• Destroy target artifact.\n• Destroy target enchantment.\n• Exile target card from a graveyard.\n• You gain 4 life."
SNC,"Lord Xander, the Collector",mythic,{4}{U}{B}{R},"B, R, U",Creature,"Vampire, Demon, Noble",6,6,0,0,0,0,0,"When Lord Xander, the Collector enters the battlefield, target opponent discards half the cards in their hand, rounded down.\nWhenever Lord Xander attacks, defending player mills half their library, rounded down.\nWhen Lord Xander dies, target opponent sacrifices half the nonland permanents they control, rounded down."
SNC,Reservoir Kraken,rare,{2}{U}{U},U,Creature,Kraken,6,6,0,0,0,0,0,"Trample, ward {2}\nAt the beginning of each combat, if Reservoir Kraken is untapped, any opponent may tap an untapped creature they control. If they do, tap Reservoir Kraken and create a 1/1 blue Fish creature token with ""This creature can't be blocked."""
SNC,Rhox Pummeler,common,{5}{G},G,Creature,"Rhino, Soldier",6,3,0,0,0,0,0,"Rhox Pummeler enters the battlefield with a shield counter on it. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)\nRhox Pummeler has trample as long as it has a shield counter on it."
SNC,Shakedown Heavy,rare,{2}{B},B,Creature,"Ogre, Warrior",6,4,2,2,0,0,0,"Menace\nWhenever Shakedown Heavy attacks, defending player may have you draw a card. If they do, untap Shakedown Heavy and remove it from combat."
SNC,"Ziatora, the Incinerator",mythic,{3}{B}{R}{G},"B, G, R",Creature,"Demon, Dragon",6,6,0,0,0,0,0,"Flying\nAt the beginning of your end step, you may sacrifice another creature. When you do, Ziatora, the Incinerator deals damage equal to that creature's power to any target and you create three Treasure tokens."
SNC,All-Seeing Arbiter,mythic,{4}{U}{U},U,Creature,Avatar,5,4,0,0,0,0,0,"Flying\nWhenever All-Seeing Arbiter enters the battlefield or attacks, draw two cards, then discard a card.\nWhenever you discard a card, target creature an opponent controls gets -X/-0 until your next turn, where X is the number of different mana values among cards in your graveyard."
SNC,A-Masked Bandits,common,{3}{B}{R}{G},"B, G, R",Creature,"Raccoon, Rogue",5,6,0,0,0,0,0,"Vigilance\nMenace (This creature can't be blocked except by two or more creatures.)\n{1}, Exile Masked Bandits from your hand: Target land gains ""{T}: Add {B}, {R}, or {G}"" until Masked Bandits is cast from exile. You may cast Masked Bandits for as long as it remains exiled."
SNC,Angel of Suffering,mythic,{3}{B}{B},B,Creature,"Nightmare, Angel",5,3,0,0,0,0,0,"Flying\nIf damage would be dealt to you, prevent that damage and mill twice that many cards."
SNC,A-Rakish Revelers,common,{2}{R}{G}{W},"G, R, W",Creature,"Elf, Druid, Rogue",5,3,0,0,0,0,0,"When Rakish Revelers enters the battlefield, create a 1/1 green and white Citizen creature token.\n{1}, Exile Rakish Revelers from your hand: Target land gains ""{T}: Add {R}, {G}, or {W}"" until Rakish Revelers is cast from exile. You may cast Rakish Revelers for as long as it remains exiled."
SNC,A-Security Rhox,uncommon,{2}{R}{G},"G, R",Creature,"Rhino, Warrior",5,5,0,0,0,0,0,You may pay {R}{G} rather than pay this spell's mana cost. Spend only mana produced by Treasures to cast it this way.
SNC,Dusk Mangler,uncommon,{5}{B}{B},B,Creature,Horror,5,4,0,0,0,0,0,"As an additional cost to cast this spell, sacrifice a creature, discard a card, or pay 4 life.\nWhen Dusk Mangler enters the battlefield, each opponent sacrifices a creature, discards a card, and loses 4 life."
SNC,Hoard Hauler,rare,{3}{R},R,Artifact,Vehicle,5,5,0,0,0,0,0,"Trample\nWhenever Hoard Hauler deals combat damage to a player, create a Treasure token for each artifact they control.\nCrew 3"
SNC,"Jetmir, Nexus of Revels",mythic,{1}{R}{G}{W},"G, R, W",Creature,"Cat, Demon",5,4,0,0,0,0,0,Creatures you control get +1/+0 and have vigilance as long as you control three or more creatures.\nCreatures you control also get +1/+0 and have trample as long as you control six or more creatures.\nCreatures you control also get +1/+0 and have double strike as long as you control nine or more creatures.
SNC,Masked Bandits,common,{3}{B}{R}{G},"B, G, R",Creature,"Raccoon, Rogue",5,5,0,0,0,0,0,"Vigilance\nMenace (This creature can't be blocked except by two or more creatures.)\n{2}, Exile Masked Bandits from your hand: Target land gains ""{T}: Add {B}, {R}, or {G}"" until Masked Bandits is cast from exile. You may cast Masked Bandits for as long as it remains exiled."
SNC,Rakish Revelers,common,{2}{R}{G}{W},"G, R, W",Creature,"Elf, Druid, Rogue",5,3,1,0,1,0,0,"When Rakish Revelers enters the battlefield, create a 1/1 green and white Citizen creature token.\n{2}, Exile Rakish Revelers from your hand: Target land gains ""{T}: Add {R}, {G}, or {W}"" until Rakish Revelers is cast from exile. You may cast Rakish Revelers for as long as it remains exiled."
SNC,Sanctuary Warden,mythic,{4}{W}{W},W,Creature,"Angel, Soldier",5,5,0,0,0,0,0,"Flying\nSanctuary Warden enters the battlefield with two shield counters on it.\nWhenever Sanctuary Warden enters the battlefield or attacks, you may remove a counter from a creature or planeswalker you control. If you do, draw a card and create a 1/1 green and white Citizen creature token."
SNC,Security Rhox,uncommon,{2}{R}{G},"G, R",Creature,"Rhino, Warrior",5,4,1,0,1,0,0,You may pay {R}{G} rather than pay this spell's mana cost. Spend only mana produced by Treasures to cast it this way.
SNC,Soul of Emancipation,rare,{4}{G}{W}{U},"G, U, W",Creature,Avatar,5,7,0,0,0,0,0,"When Soul of Emancipation enters the battlefield, destroy up to three other target nonland permanents. For each of those permanents, its controller creates a 3/3 white Angel creature token with flying."
SNC,Workshop Warchief,rare,{3}{G}{G},G,Creature,"Rhino, Warrior",5,3,0,0,0,0,0,"Trample\nWhen Workshop Warchief enters the battlefield, you gain 3 life.\nWhen Workshop Warchief dies, create a 4/4 green Rhino Warrior creature token.\nBlitz {4}{G}{G} (If you cast this spell for its blitz cost, it gains haste and ""When this creature dies, draw a card."" Sacrifice it at the beginning of the next end step.)"
SNC,Ziatora's Envoy,rare,{1}{B}{R}{G},"B, G, R",Creature,"Viashino, Warrior",5,4,0,0,0,0,0,"Trample\nWhenever Ziatora's Envoy deals combat damage to a player, look at the top card of your library. You may play a land from the top of your library or cast a spell with mana value less than or equal to the damage dealt from the top of your library without paying its mana cost. If you don't, put that card into your hand.\nBlitz {2}{B}{R}{G}"
SNC,A-Forge Boss,uncommon,{2}{B}{R},"B, R",Creature,"Human, Warrior",4,4,0,0,0,0,0,"Whenever you sacrifice one or more other creatures, Forge Boss deals 2 damage to each opponent. This ability triggers only once each turn."
SNC,A-Glamorous Outlaw,common,{3}{U}{B}{R},"B, R, U",Creature,"Vampire, Rogue",4,5,0,0,0,0,0,"When Glamorous Outlaw enters the battlefield, it deals 2 damage to each opponent and you gain 2 life. Scry 2.\n{1}, Exile Glamorous Outlaw from your hand: Target land gains ""{T}: Add {U}, {B}, or {R}"" until Glamorous Outlaw is cast from exile. You may cast Glamorous Outlaw for as long as it remains exiled."
SNC,A-Sewer Crocodile,common,{5}{U},U,Creature,Crocodile,4,7,0,0,0,0,0,{3}{U}: Sewer Crocodile can't be blocked this turn. This ability costs {3} less to activate if there are five or more mana values among cards in your graveyard.
SNC,A-Shattered Seraph,common,{4}{W}{U}{B},"B, U, W",Creature,"Angel, Rogue",4,5,0,0,0,0,0,"Flying\nWhen Shattered Seraph enters the battlefield, you gain 3 life.\n{1}, Exile Shattered Seraph from your hand: Target land gains ""{T}: Add {W}, {U}, or {B}"" until Shattered Seraph is cast from exile. You may cast Shattered Seraph for as long as it remains exiled."
SNC,A-Sizzling Soloist,uncommon,{3}{R},R,Creature,"Human, Citizen",4,2,0,0,0,0,0,"Alliance — Whenever another creature enters the battlefield under your control, target creature an opponent controls can't block this turn. If this is the second time this ability has resolved this turn, that creature attacks during its controller's next combat phase if able."
SNC,A-Social Climber,common,{2}{G},G,Creature,"Human, Druid",4,2,0,0,0,0,0,"Alliance — Whenever another creature enters the battlefield under your control, you gain 1 life."
SNC,A-Spara's Adjudicators,common,{2}{G}{W}{U},"G, U, W",Creature,"Cat, Citizen",4,4,0,0,0,0,0,"When Spara's Adjudicators enters the battlefield, target creature an opponent controls can't attack or block until your next turn.\n{1}, Exile Spara's Adjudicators from your hand: Target land gains ""{T}: Add {G}, {W}, or {U}"" until Spara's Adjudicators is cast from exile. You may cast Spara's Adjudicators for as long as it remains exiled."
SNC,Brazen Upstart,uncommon,{R}{G}{W},"G, R, W",Creature,"Elf, Shaman",4,2,1,1,0,0,1,"Vigilance\nWhen Brazen Upstart dies, look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
