setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
VOW,Adamant Will,common,{1}{W},W,Instant,0,0,0,3,0,3,0,0,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
VOW,Angelic Quartermaster,uncommon,{3}{W}{W},W,Creature,"Angel, Soldier",3,3,0,0,0,0,0,"Flying\nWhen Angelic Quartermaster enters the battlefield, put a +1/+1 counter on each of up to two other target creatures."
VOW,Arm the Cathars,uncommon,{1}{W}{W},W,Sorcery,0,0,0,0,0,0,0,0,"Until end of turn, target creature gets +3/+3, up to one other target creature gets +2/+2, and up to one other target creature gets +1/+1. Those creatures gain vigilance until end of turn."
VOW,Bride's Gown,uncommon,{1}{W},W,Artifact,Equipment,0,0,3,2,1,0,0,Equipped creature gets +2/+0. It gets an additional +0/+2 and has first strike as long as an Equipment named Groom's Finery is attached to a creature you control.\nEquip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
VOW,By Invitation Only,rare,{3}{W}{W},W,Sorcery,0,0,0,0,0,0,0,0,Choose a number between 0 and 13. Each player sacrifices that many creatures.
VOW,Cemetery Protector,mythic,{2}{W}{W},W,Creature,"Human, Soldier",3,4,0,0,0,0,0,"Flash\nWhen Cemetery Protector enters the battlefield, exile a card from a graveyard.\nWhenever you play a land or cast a spell, if it shares a card type with the exiled card, create a 1/1 white Human creature token."
VOW,Circle of Confinement,uncommon,{1}{W},W,Enchantment,0,0,0,1,1,0,0,1,"When Circle of Confinement enters the battlefield, exile target creature an opponent controls with mana value 3 or less until Circle of Confinement leaves the battlefield.\nWhenever an opponent casts a Vampire spell with the same name as a card exiled with Circle of Confinement, you gain 2 life."
VOW,Dawnhart Geist,uncommon,{1}{W},W,Creature,"Spirit, Warlock",1,3,1,1,0,0,0,"Whenever you cast an enchantment spell, you gain 2 life."
VOW,Distracting Geist // Clever Distraction,uncommon,{2}{W},W,Creature,Spirit,2,1,0,0,0,0,0,"Whenever Distracting Geist attacks, tap target creature defending player controls.\nDisturb {4}{W} (You may cast this card from your graveyard transformed for its disturb cost.)"
VOW,Drogskol Infantry // Drogskol Armaments,common,{1}{W},W,Creature,"Spirit, Soldier",2,2,2,0,2,0,0,Disturb {3}{W} (You may cast this card from your graveyard transformed for its disturb cost.)
