,Unnamed: 0,Name,Market Price,date
0,2,Advent of the Wurm,$0.19,2023-11-28
1,2,Aetherling,$0.28,2023-11-28
2,2,Alive // Well,$0.07,2023-11-28
3,2,Armed // Dangerous,$0.10,2023-11-28
4,2,Armored Wolf-Rider,$0.03,2023-11-28
5,2,Ascended Lawmage,$0.04,2023-11-28
6,2,Awe for the Guilds,$0.02,2023-11-28
7,2,Azorius Cluestone,$0.06,2023-11-28
8,2,Azorius Guildgate,$0.12,2023-11-28
9,2,Bane Alley Blackguard,$0.02,2023-11-28
10,2,Battering Krasis,$0.03,2023-11-28
11,2,Beck // Call,$0.33,2023-11-28
12,2,Beetleform Mage,$0.03,2023-11-28
13,2,Blast of Genius,$0.03,2023-11-28
14,2,Blaze Commando,$0.13,2023-11-28
15,2,Blood Baron of Vizkopa,$0.41,2023-11-28
16,2,Blood Scrivener,$0.21,2023-11-28
17,2,Boros Battleshaper,$0.21,2023-11-28
18,2,Boros Cluestone,$0.07,2023-11-28
19,2,Boros Guildgate,$0.10,2023-11-28
20,2,Boros Mastiff,$0.06,2023-11-28
21,2,Breaking // Entering,$0.25,2023-11-28
22,2,Bred for the Hunt,$0.20,2023-11-28
23,2,Bronzebeak Moa,$0.05,2023-11-28
24,2,Carnage Gladiator,$0.07,2023-11-28
25,2,Catch // Release,$0.15,2023-11-28
26,2,Clear a Path,$0.02,2023-11-28
27,2,Council of the Absolute,$0.26,2023-11-28
28,2,Crypt Incursion,$0.22,2023-11-28
29,2,Deadbridge Chant,$0.66,2023-11-28
30,2,Debt to the Deathless,$0.74,2023-11-28
31,2,Deputy of Acquittals,$0.03,2023-11-28
32,2,Dimir Cluestone,$0.12,2023-11-28
33,2,Dimir Guildgate,$0.16,2023-11-28
34,2,Down // Dirty,$0.10,2023-11-28
35,2,Dragonshift,$0.18,2023-11-28
36,2,Drown in Filth,$0.04,2023-11-28
37,2,Elemental Token,$1.36,2023-11-28
38,2,Emmara Tandris,$0.22,2023-11-28
39,2,"Exava, Rakdos Blood Witch",$0.26,2023-11-28
40,2,Far // Away,$0.18,2023-11-28
41,2,Fatal Fumes,$0.06,2023-11-28
42,2,Feral Animist,$0.03,2023-11-28
43,2,Flesh // Blood,$0.20,2023-11-28
44,2,Fluxcharger,$0.06,2023-11-28
45,2,Gaze of Granite,$0.21,2023-11-28
46,2,Give // Take,$0.06,2023-11-28
47,2,Gleam of Battle,$0.22,2023-11-28
48,2,Goblin Test Pilot,$0.06,2023-11-28
49,2,Golgari Cluestone,$0.08,2023-11-28
50,2,Golgari Guildgate,$0.13,2023-11-28
51,2,Gruul Cluestone,$0.07,2023-11-28
