,Name,Market Price,date
0,Abrade,$0.10,2023-11-21
1,Abraham Van Helsing - Savior of Ollenbock,$0.55,2023-11-21
2,Adamant Will,$0.02,2023-11-21
3,Aim for the Head,$0.03,2023-11-21
4,Alchemist's Gambit,$0.15,2023-11-21
5,Alchemist's Gambit (Extended Art),$0.31,2023-11-21
6,Alchemist's Retrieval,$0.09,2023-11-21
7,Alluring Suitor,$0.02,2023-11-21
8,Alluring Suitor (Showcase),$0.03,2023-11-21
9,Ancestral Anger,$0.13,2023-11-21
10,Ancient Lumberknot,$0.10,2023-11-21
11,Angelic Quartermaster,$0.04,2023-11-21
12,"Anje, Maid of Dishonor",$0.17,2023-11-21
13,"Anje, Maid of Dishonor (Showcase)",$0.31,2023-11-21
14,Apprentice Sharpshooter,$0.02,2023-11-21
15,Archghoul of Thraben,$0.15,2023-11-21
16,Arm the Cathars,$0.01,2023-11-21
17,Ascendant Packleader,$0.16,2023-11-21
18,Ascendant Packleader (Extended Art),$0.40,2023-11-21
19,Avabruck Caretaker,$4.57,2023-11-21
