,Name,Market Price,date
0,Absorb Identity,$0.13,2023-11-21
1,"Aegar, the Freezing Flame",$0.03,2023-11-21
2,"Aegar, the Freezing Flame (Showcase)",$0.07,2023-11-21
3,Alpine Meadow,$0.28,2023-11-21
4,Alrund's Epiphany,$3.63,2023-11-21
5,Alrund's Epiphany (Borderless),$2.87,2023-11-21
6,"Alrund, God of the Cosmos",$0.34,2023-11-21
7,"Alrund, God of the Cosmos (Showcase)",$0.33,2023-11-21
8,Angel Warrior Token,$0.54,2023-11-21
9,Annul,$0.06,2023-11-21
10,Arachnoform,$0.04,2023-11-21
11,Arctic Treeline,$0.28,2023-11-21
12,Armed and Armored,$0.23,2023-11-21
13,Arni Brokenbrow,$0.10,2023-11-21
14,Arni Brokenbrow (Showcase),$0.10,2023-11-21
15,Arni Slays the Troll,$0.10,2023-11-21
16,Ascendant Spirit,$0.27,2023-11-21
17,Ascendant Spirit (Extended Art),$0.34,2023-11-21
18,Ascent of the Worthy,$0.08,2023-11-21
19,Augury Raven,$0.05,2023-11-21
