,Name,Market Price,date
0,Ahn-Crop Invader,$0.02,2023-11-21
1,Aid the Fallen,$0.06,2023-11-21
2,Ajani's Pridemate,$0.14,2023-11-21
3,"Ajani, the Greathearted",$0.51,2023-11-21
4,"Ajani, the Greathearted (JP Alternate Art)",$1.24,2023-11-21
5,Angel Token,$0.56,2023-11-21
6,Angrath's Rampage,$0.14,2023-11-21
7,"Angrath, Captain of Chaos",$0.19,2023-11-21
8,"Angrath, Captain of Chaos (JP Alternate Art)",$0.39,2023-11-21
9,Arboreal Grazer,$0.22,2023-11-21
10,Arlinn's Wolf,$0.02,2023-11-21
11,"Arlinn, Voice of the Pack",$0.14,2023-11-21
12,"Arlinn, Voice of the Pack (JP Alternate Art)",$0.65,2023-11-21
13,Ashiok's Skulker,$0.02,2023-11-21
14,"Ashiok, Dream Render",$0.91,2023-11-21
15,"Ashiok, Dream Render (JP Alternate Art)",$1.97,2023-11-21
16,Assassin Token,$0.09,2023-11-21
17,Augur of Bolas,$0.16,2023-11-21
18,Aven Eternal,$0.04,2023-11-21
19,Awakening of Vitu-Ghazi,$0.18,2023-11-21
