,category,set,Name,Listed Price,Market Price,over_under
210,Magic: The Gathering,Shadows over Innistrad,Cryptolith Rite,6.7,13.45,-6.749999999999999
366,Magic: The Gathering,Strixhaven: School of Mages,Crackle with Power,4.16,10.35,-6.1899999999999995
221,Magic: The Gathering,Strixhaven: School of Mages,Wandering Archaic,1.9,5.83,-3.93
592,Magic: The Gathering,Magic 2012 (M12),Jace's Archivist,1.49,5.38,-3.8899999999999997
242,Magic: The Gathering,Journey Into Nyx,Dictate of Erebos,6.9,10.54,-3.639999999999999
432,Magic: The Gathering,Dragons of Tarkir,"Sidisi, Undead Vizier",3.0,6.11,-3.1100000000000003
706,Magic: The Gathering,Return to Ravnica,"Rakdos, Lord of Riots",4.0,7.06,-3.0599999999999996
645,Magic: The Gathering,War of the Spark,God-Eternal Bontu,0.55,3.36,-2.8099999999999996
177,Magic: The Gathering,War of the Spark,"Teferi, Time Raveler",8.15,10.87,-2.719999999999999
560,Magic: The Gathering,Eldritch Moon,Mind's Dilation,3.4,5.58,-2.18
674,Magic: The Gathering,Aether Revolt,Indomitable Creativity,5.12,7.24,-2.12
314,Magic: The Gathering,Magic 2011 (M11),Liliana's Caress,4.9,7.0,-2.0999999999999996
701,Magic: The Gathering,Stronghold,Heartstone,1.6,3.69,-2.09
13,Magic: The Gathering,Strixhaven: School of Mages,Dragon's Approach,1.0,2.92,-1.92
337,Magic: The Gathering,Aether Revolt,Metallic Mimic,7.0,8.8,-1.8000000000000007
255,Magic: The Gathering,Hour of Devastation,Torment of Hailfire,17.45,19.22,-1.7699999999999996
535,Magic: The Gathering,Core Set 2019,"Lathliss, Dragon Queen",1.5,3.22,-1.7200000000000002
659,Magic: The Gathering,Dragons of Tarkir,Dragon Tempest,2.5,4.15,-1.6500000000000004
385,Magic: The Gathering,Return to Ravnica,Deathrite Shaman,3.0,4.61,-1.6100000000000003
413,Magic: The Gathering,Kaladesh,Aetherworks Marvel,4.0,5.61,-1.6100000000000003
253,Magic: The Gathering,Shadows over Innistrad,Anguished Unmaking,2.9,4.18,-1.2799999999999998
