setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
AFR,+2 Mace,common,{1}{W},W,Artifact,Equipment,0,0,0,0,0,0,0,Equipped creature gets +2/+2.\nEquip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)
AFR,Arborea Pegasus,common,{3}{W},W,Creature,Pegasus,2,3,0,0,0,0,0,"Flying\nWhen Arborea Pegasus enters the battlefield, target creature gets +1/+1 and gains flying until end of turn."
AFR,Blink Dog,uncommon,{2}{W},W,Creature,Dog,1,1,0,0,0,0,0,Double strike\nTeleport — {3}{W}: Blink Dog phases out. (Treat it and anything attached to it as though they don't exist until your next turn.)
AFR,The Book of Exalted Deeds,mythic,{W}{W}{W},W,Artifact,0,0,0,0,0,0,0,0,"At the beginning of your end step, if you gained 3 or more life this turn, create a 3/3 white Angel creature token with flying.\n{W}{W}{W}, {T}, Exile The Book of Exalted Deeds: Put an enlightened counter on target Angel. It gains ""You can't lose the game and your opponents can't win the game."" Activate only as a sorcery."
AFR,Celestial Unicorn,common,{2}{W},W,Creature,Unicorn,3,2,0,0,0,0,0,"Whenever you gain life, put a +1/+1 counter on Celestial Unicorn."
AFR,Cleric Class,uncommon,{W},W,Enchantment,Class,0,0,0,0,0,0,0,"(Gain the next level as a sorcery to add its ability.)\nIf you would gain life, you gain that much life plus 1 instead.\n{3}{W}: Level 2\nWhenever you gain life, put a +1/+1 counter on target creature you control.\n{4}{W}: Level 3\nWhen this Class becomes level 3, return target creature card from your graveyard to the battlefield. You gain life equal to that creature's toughness."
AFR,Cloister Gargoyle,uncommon,{2}{W},W,"Artifact, Creature",Gargoyle,0,4,0,0,0,0,0,"When Cloister Gargoyle enters the battlefield, venture into the dungeon. (Enter the first room or advance to the next room.)\nAs long as you've completed a dungeon, Cloister Gargoyle gets +3/+0 and has flying."
AFR,A-Cloister Gargoyle,uncommon,{1}{W},W,"Artifact, Creature",Gargoyle,0,3,0,0,0,0,0,"When Cloister Gargoyle enters the battlefield, venture into the dungeon. (Enter the first room or advance to the next room.)\nAs long as you've completed a dungeon, Cloister Gargoyle gets +3/+0 and has flying."
AFR,Dancing Sword,rare,{1}{W},W,Artifact,Equipment,0,0,0,0,0,0,0,"Equipped creature gets +2/+1.\nWhen equipped creature dies, you may have Dancing Sword become a 2/1 Construct artifact creature with flying and ward {1}. If you do, it isn't an Equipment.\nEquip {1}"
AFR,Dawnbringer Cleric,common,{1}{W},W,Creature,"Human, Cleric",1,3,0,0,0,0,0,"When Dawnbringer Cleric enters the battlefield, choose one —\n• Cure Wounds — You gain 2 life.\n• Dispel Magic — Destroy target enchantment.\n• Gentle Repose — Exile target card from a graveyard."
