setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
BNG,Acolyte's Reward,uncommon,{1}{W},W,Instant,0,0,0,0,0,0,0,0,"Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to any target. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)"
BNG,Akroan Phalanx,uncommon,{3}{W},"R, W",Creature,"Human, Soldier",3,3,0,0,0,0,0,Vigilance\n{2}{R}: Creatures you control get +1/+0 until end of turn.
BNG,Akroan Skyguard,common,{1}{W},W,Creature,"Human, Soldier",1,1,0,0,0,0,0,"Flying\nHeroic — Whenever you cast a spell that targets Akroan Skyguard, put a +1/+1 counter on Akroan Skyguard."
BNG,Archetype of Courage,uncommon,{1}{W}{W},W,"Enchantment, Creature","Human, Soldier",2,2,0,0,0,0,0,Creatures you control have first strike.\nCreatures your opponents control lose first strike and can't have or gain first strike.
BNG,"Brimaz, King of Oreskos",mythic,{1}{W}{W},W,Creature,"Cat, Soldier",3,4,0,0,0,0,0,"Vigilance\nWhenever Brimaz, King of Oreskos attacks, create a 1/1 white Cat Soldier creature token with vigilance that's attacking.\nWhenever Brimaz blocks a creature, create a 1/1 white Cat Soldier creature token with vigilance that's blocking that creature."
BNG,Dawn to Dusk,uncommon,{2}{W}{W},W,Sorcery,0,0,0,0,0,0,0,0,Choose one or both —\n• Return target enchantment card from your graveyard to your hand.\n• Destroy target enchantment.
BNG,Eidolon of Countless Battles,rare,{1}{W}{W},W,"Enchantment, Creature",Spirit,0,0,0,0,0,0,0,"Bestow {2}{W}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nEidolon of Countless Battles and enchanted creature each get +1/+1 for each creature you control and +1/+1 for each Aura you control."
BNG,Elite Skirmisher,common,{2}{W},W,Creature,"Human, Soldier",3,1,0,0,0,0,0,"Heroic — Whenever you cast a spell that targets Elite Skirmisher, you may tap target creature."
BNG,Ephara's Radiance,common,{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant creature\nEnchanted creature has ""{1}{W}, {T}: You gain 3 life."""
BNG,Excoriate,common,{3}{W},W,Sorcery,0,0,0,0,0,0,0,0,Exile target tapped creature.
