setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
DOM,"Karn, Scion of Urza",mythic,{4},0,Planeswalker,Karn,0,0,0,0,0,0,0,"[+1]: Reveal the top two cards of your library. An opponent chooses one of them. Put that card into your hand and exile the other with a silver counter on it.\n[−1]: Put a card you own with a silver counter on it from exile into your hand.\n[−2]: Create a 0/0 colorless Construct artifact creature token with ""This creature gets +1/+1 for each artifact you control."""
DOM,Adamant Will,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
DOM,Aven Sentry,common,{3}{W},W,Creature,"Bird, Soldier",3,2,0,0,0,0,0,Flying
DOM,"Baird, Steward of Argive",uncommon,{2}{W}{W},W,Creature,"Human, Soldier",2,4,0,0,0,0,0,Vigilance\nCreatures can't attack you or planeswalkers you control unless their controller pays {1} for each of those creatures.
DOM,Benalish Honor Guard,common,{1}{W},W,Creature,"Human, Knight",2,2,0,0,0,0,0,Benalish Honor Guard gets +1/+0 for each legendary creature you control.
DOM,Benalish Marshal,rare,{W}{W}{W},W,Creature,"Human, Knight",3,3,0,0,0,0,0,Other creatures you control get +1/+1.
DOM,Blessed Light,common,{4}{W},W,Instant,0,0,0,0,0,0,0,0,Exile target creature or enchantment.
DOM,Board the Weatherlight,uncommon,{1}{W},W,Sorcery,0,0,0,0,0,0,0,0,"Look at the top five cards of your library. You may reveal a historic card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. (Artifacts, legendaries, and Sagas are historic.)"
DOM,Call the Cavalry,common,{3}{W},W,Sorcery,0,0,0,0,0,0,0,0,Create two 2/2 white Knight creature tokens with vigilance.
DOM,Charge,common,{W},W,Instant,0,0,0,0,0,0,0,0,Creatures you control get +1/+1 until end of turn.
DOM,D'Avenant Trapper,common,{2}{W},W,Creature,"Human, Archer",3,2,0,0,0,0,0,"Whenever you cast a historic spell, tap target creature an opponent controls. (Artifacts, legendaries, and Sagas are historic.)"
DOM,"Danitha Capashen, Paragon",uncommon,{2}{W},W,Creature,"Human, Knight",2,2,0,0,0,0,0,"First strike, vigilance, lifelink\nAura and Equipment spells you cast cost {1} less to cast."
DOM,Daring Archaeologist,rare,{3}{W},W,Creature,"Human, Artificer",3,3,0,0,0,0,0,"When Daring Archaeologist enters the battlefield, you may return target artifact card from your graveyard to your hand.\nWhenever you cast a historic spell, put a +1/+1 counter on Daring Archaeologist. (Artifacts, legendaries, and Sagas are historic.)"
DOM,Dauntless Bodyguard,uncommon,{W},W,Creature,"Human, Knight",2,1,0,0,0,0,0,"As Dauntless Bodyguard enters the battlefield, choose another creature you control.\nSacrifice Dauntless Bodyguard: The chosen creature gains indestructible until end of turn."
DOM,Dub,common,{2}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant creature\nEnchanted creature gets +2/+2, has first strike, and is a Knight in addition to its other types. (It deals combat damage before creatures without first strike.)"
DOM,"Evra, Halcyon Witness",rare,{4}{W}{W},W,Creature,Avatar,4,4,0,0,0,0,0,"Lifelink\n{4}: Exchange your life total with Evra, Halcyon Witness's power."
DOM,Excavation Elephant,common,{4}{W},W,Creature,Elephant,3,5,0,0,0,0,0,"Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.)\nWhen Excavation Elephant enters the battlefield, if it was kicked, return target artifact card from your graveyard to your hand."
DOM,Fall of the Thran,rare,{5}{W},W,Enchantment,Saga,0,0,0,0,0,0,0,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Destroy all lands.\nII, III — Each player returns two land cards from their graveyard to the battlefield."
DOM,Gideon's Reproach,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,Gideon's Reproach deals 4 damage to target attacking or blocking creature.
DOM,Healing Grace,common,{W},W,Instant,0,0,0,0,0,0,0,0,Prevent the next 3 damage that would be dealt to any target this turn by a source of your choice. You gain 3 life.
DOM,History of Benalia,mythic,{1}{W}{W},W,Enchantment,Saga,0,0,0,0,0,0,0,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI, II — Create a 2/2 white Knight creature token with vigilance.\nIII — Knights you control get +2/+1 until end of turn."
DOM,Invoke the Divine,common,{2}{W},W,Instant,0,0,0,0,0,0,0,0,Destroy target artifact or enchantment. You gain 4 life.
DOM,Knight of Grace,uncommon,{1}{W},W,Creature,"Human, Knight",2,2,0,0,0,0,0,First strike\nHexproof from black (This creature can't be the target of black spells or abilities your opponents control.)\nKnight of Grace gets +1/+0 as long as any player controls a black permanent.
DOM,Knight of New Benalia,common,{1}{W},W,Creature,"Human, Knight",3,1,0,0,0,0,0,0
