setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
DTK,Scion of Ugin,uncommon,{6},0,Creature,"Dragon, Spirit",4,4,0,0,0,0,0,Flying
DTK,"Anafenza, Kin-Tree Spirit",rare,{W}{W},W,Creature,"Spirit, Soldier",2,2,0,0,0,0,0,"Whenever another nontoken creature enters the battlefield under your control, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)"
DTK,Arashin Foremost,rare,{1}{W}{W},W,Creature,"Human, Warrior",2,2,0,0,0,0,0,"Double strike\nWhenever Arashin Foremost enters the battlefield or attacks, another target Warrior creature you control gains double strike until end of turn."
DTK,Artful Maneuver,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,"Target creature gets +2/+2 until end of turn.\nRebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"
DTK,Aven Sunstriker,uncommon,{1}{W}{W},W,Creature,"Bird, Warrior",1,1,0,0,0,0,0,Flying\nDouble strike (This creature deals both first-strike and regular combat damage.)\nMegamorph {4}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
DTK,Aven Tactician,common,{4}{W},W,Creature,"Bird, Soldier",2,3,0,0,0,0,0,"Flying\nWhen Aven Tactician enters the battlefield, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)"
DTK,Battle Mastery,uncommon,{2}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,Enchant creature\nEnchanted creature has double strike. (It deals both first-strike and regular combat damage.)
DTK,Center Soul,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,"Target creature you control gains protection from the color of your choice until end of turn.\nRebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"
DTK,Champion of Arashin,common,{3}{W},W,Creature,"Dog, Warrior",3,2,0,0,0,0,0,Lifelink (Damage dealt by this creature also causes you to gain that much life.)
DTK,Dragon Hunter,uncommon,{W},W,Creature,"Human, Warrior",2,1,0,0,0,0,0,Protection from Dragons\nDragon Hunter can block Dragons as though it had reach.
DTK,Dragon's Eye Sentry,common,{W},W,Creature,"Human, Monk",1,3,0,0,0,0,0,"Defender, first strike"
DTK,Dromoka Captain,uncommon,{2}{W},W,Creature,"Human, Soldier",1,1,0,0,0,0,0,"First strike\nWhenever Dromoka Captain attacks, bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)"
DTK,Dromoka Dunecaster,common,{W},W,Creature,"Human, Wizard",0,2,0,0,0,0,0,"{1}{W}, {T}: Tap target creature without flying."
DTK,Dromoka Warrior,common,{1}{W},W,Creature,"Human, Warrior",3,1,0,0,0,0,0,0
DTK,Echoes of the Kin Tree,uncommon,{1}{W},W,Enchantment,0,0,0,0,0,0,0,0,{2}{W}: Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)
DTK,Enduring Victory,common,{4}{W},W,Instant,0,0,0,0,0,0,0,0,Destroy target attacking or blocking creature. Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)
DTK,Fate Forgotten,common,{2}{W},W,Instant,0,0,0,0,0,0,0,0,Exile target artifact or enchantment.
DTK,Glaring Aegis,common,{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant creature\nWhen Glaring Aegis enters the battlefield, tap target creature an opponent controls.\nEnchanted creature gets +1/+3."
DTK,Gleam of Authority,rare,{1}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant creature\nEnchanted creature gets +1/+1 for each +1/+1 counter on other creatures you control.\nEnchanted creature has vigilance and ""{W}, {T}: Bolster 1."" (To bolster 1, choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)"
DTK,Graceblade Artisan,uncommon,{2}{W},W,Creature,"Human, Monk",2,3,0,0,0,0,0,Graceblade Artisan gets +2/+2 for each Aura attached to it.
DTK,Great Teacher's Decree,uncommon,{3}{W},W,Sorcery,0,0,0,0,0,0,0,0,"Creatures you control get +2/+1 until end of turn.\nRebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"
DTK,Herald of Dromoka,common,{1}{W},W,Creature,"Human, Warrior",2,2,0,0,0,0,0,Vigilance\nOther Warrior creatures you control have vigilance.
DTK,Hidden Dragonslayer,rare,{1}{W},W,Creature,"Human, Warrior",2,1,0,0,0,0,0,"Lifelink\nMegamorph {2}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)\nWhen Hidden Dragonslayer is turned face up, destroy target creature with power 4 or greater an opponent controls."
DTK,Lightwalker,common,{1}{W},W,Creature,"Human, Warrior",2,1,0,0,0,0,0,Lightwalker has flying as long as it has a +1/+1 counter on it.
DTK,Misthoof Kirin,common,{2}{W},W,Creature,Kirin,2,1,0,0,0,0,0,"Flying, vigilance\nMegamorph {1}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)"
