setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
EMN,Abundant Maw,uncommon,{8},B,Creature,"Eldrazi, Leech",6,4,0,0,0,0,0,"Emerge {6}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)\nWhen you cast this spell, target opponent loses 3 life and you gain 3 life."
EMN,Decimator of the Provinces,mythic,{10},G,Creature,"Eldrazi, Boar",7,7,0,0,0,0,0,"Emerge {6}{G}{G}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)\nWhen you cast this spell, creatures you control get +2/+2 and gain trample until end of turn.\nTrample, haste"
EMN,Distended Mindbender,rare,{8},B,Creature,"Eldrazi, Insect",5,5,0,0,0,0,0,"Emerge {5}{B}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)\nWhen you cast this spell, target opponent reveals their hand. You choose from it a nonland card with mana value 3 or less and a card with mana value 4 or greater. That player discards those cards."
EMN,Drownyard Behemoth,uncommon,{9},U,Creature,"Eldrazi, Crab",5,7,0,0,0,0,0,Flash (You may cast this spell any time you could cast an instant.)\nEmerge {7}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)\nDrownyard Behemoth has hexproof as long as it entered the battlefield this turn.
EMN,Elder Deep-Fiend,rare,{8},U,Creature,"Eldrazi, Octopus",5,6,0,0,0,0,0,"Flash\nEmerge {5}{U}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)\nWhen you cast this spell, tap up to four target permanents."
EMN,"Emrakul, the Promised End",mythic,{13},0,Creature,Eldrazi,13,13,0,0,0,0,0,"This spell costs {1} less to cast for each card type among cards in your graveyard.\nWhen you cast this spell, you gain control of target opponent during that player's next turn. After that turn, that player takes an extra turn.\nFlying, trample, protection from instants"
EMN,Eternal Scourge,rare,{3},0,Creature,"Eldrazi, Horror",3,3,0,0,0,0,0,"You may cast Eternal Scourge from exile.\nWhen Eternal Scourge becomes the target of a spell or ability an opponent controls, exile Eternal Scourge."
EMN,It of the Horrid Swarm,common,{8},G,Creature,"Eldrazi, Insect",4,4,0,0,0,0,0,"Emerge {6}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)\nWhen you cast this spell, create two 1/1 green Insect creature tokens."
EMN,Lashweed Lurker,uncommon,{8},"G, U",Creature,"Eldrazi, Horror",5,4,0,0,0,0,0,"Emerge {5}{G}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)\nWhen you cast this spell, you may put target nonland permanent on top of its owner's library."
EMN,Mockery of Nature,uncommon,{9},G,Creature,"Eldrazi, Beast",6,5,0,0,0,0,0,"Emerge {7}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)\nWhen you cast this spell, you may destroy target artifact or enchantment."
EMN,Vexing Scuttler,uncommon,{8},U,Creature,"Eldrazi, Crab",4,5,0,0,0,0,0,"Emerge {6}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)\nWhen you cast this spell, you may return target instant or sorcery card from your graveyard to your hand."
