setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
FRF,"Ugin, the Spirit Dragon",mythic,{8},0,Planeswalker,Ugin,0,0,0,0,0,0,0,"[+2]: Ugin, the Spirit Dragon deals 3 damage to any target.\n[−X]: Exile each permanent with mana value X or less that's one or more colors.\n[−10]: You gain 7 life, draw seven cards, then put up to seven permanent cards from your hand onto the battlefield."
FRF,Abzan Advantage,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,Target player sacrifices an enchantment. Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)
FRF,Abzan Runemark,common,{2}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,Enchant creature\nEnchanted creature gets +2/+2.\nEnchanted creature has vigilance as long as you control a black or green permanent.
FRF,Abzan Skycaptain,common,{3}{W},W,Creature,"Bird, Soldier",2,2,0,0,0,0,0,"Flying\nWhen Abzan Skycaptain dies, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)"
FRF,Arashin Cleric,common,{1}{W},W,Creature,"Human, Cleric",1,3,0,0,0,0,0,"When Arashin Cleric enters the battlefield, you gain 3 life."
FRF,Aven Skirmisher,common,{W},W,Creature,"Bird, Warrior",1,1,0,0,0,0,0,Flying
FRF,Channel Harm,uncommon,{5}{W},W,Instant,0,0,0,0,0,0,0,0,"Prevent all damage that would be dealt to you and permanents you control this turn by sources you don't control. If damage is prevented this way, you may have Channel Harm deal that much damage to target creature."
FRF,Citadel Siege,rare,{2}{W}{W},W,Enchantment,0,0,0,0,0,0,0,0,"As Citadel Siege enters the battlefield, choose Khans or Dragons.\n• Khans — At the beginning of combat on your turn, put two +1/+1 counters on target creature you control.\n• Dragons — At the beginning of combat on each opponent's turn, tap target creature that player controls."
FRF,Citadel Siege,rare,{2}{W}{W},W,Enchantment,0,0,0,0,0,0,0,0,"As Citadel Siege enters the battlefield, choose Khans or Dragons.\n• Khans — At the beginning of combat on your turn, put two +1/+1 counters on target creature you control.\n• Dragons — At the beginning of combat on each opponent's turn, tap target creature that player controls."
FRF,Daghatar the Adamant,rare,{3}{W},"B, G, W",Creature,"Human, Warrior",0,0,0,0,0,0,0,Vigilance\nDaghatar the Adamant enters the battlefield with four +1/+1 counters on it.\n{1}{B/G}{B/G}: Move a +1/+1 counter from target creature onto a second target creature.
FRF,Dragon Bell Monk,common,{2}{W},W,Creature,"Human, Monk",2,2,0,0,0,0,0,"Vigilance\nProwess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)"
FRF,Dragonscale General,rare,{3}{W},W,Creature,"Human, Warrior",2,3,0,0,0,0,0,"At the beginning of your end step, bolster X, where X is the number of tapped creatures you control. (Choose a creature with the least toughness among creatures you control and put X +1/+1 counters on it.)"
FRF,Elite Scaleguard,uncommon,{4}{W},W,Creature,"Human, Soldier",2,3,0,0,0,0,0,"When Elite Scaleguard enters the battlefield, bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)\nWhenever a creature you control with a +1/+1 counter on it attacks, tap target creature defending player controls."
FRF,Great-Horn Krushok,common,{4}{W},W,Creature,Beast,3,5,0,0,0,0,0,0
FRF,Honor's Reward,uncommon,{2}{W},W,Instant,0,0,0,0,0,0,0,0,You gain 4 life. Bolster 2. (Choose a creature with the least toughness among creatures you control and put two +1/+1 counters on it.)
FRF,Jeskai Barricade,uncommon,{1}{W},W,Creature,Wall,0,4,0,0,0,0,0,"Flash (You may cast this spell any time you could cast an instant.)\nDefender\nWhen Jeskai Barricade enters the battlefield, you may return another target creature you control to its owner's hand."
FRF,Lightform,uncommon,{1}{W}{W},W,Enchantment,0,0,0,0,0,0,0,0,"When Lightform enters the battlefield, it becomes an Aura with enchant creature. Manifest the top card of your library and attach Lightform to it. (To manifest a card, put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)\nEnchanted creature has flying and lifelink."
FRF,Lotus-Eye Mystics,uncommon,{3}{W},W,Creature,"Human, Monk",3,2,0,0,0,0,0,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhen Lotus-Eye Mystics enters the battlefield, return target enchantment card from your graveyard to your hand."
FRF,Mardu Woe-Reaper,uncommon,{W},W,Creature,"Human, Warrior",2,1,0,0,0,0,0,"Whenever Mardu Woe-Reaper or another Warrior enters the battlefield under your control, you may exile target creature card from a graveyard. If you do, you gain 1 life."
FRF,Mastery of the Unseen,rare,{1}{W},W,Enchantment,0,0,0,0,0,0,0,0,"Whenever a permanent you control is turned face up, you gain 1 life for each creature you control.\n{3}{W}: Manifest the top card of your library. (Put it onto the battlefield face down as a 2/2 creature. Turn it face up any time for its mana cost if it's a creature card.)"
