setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
GRN,Blade Instructor,common,{2}{W},W,Creature,"Human, Soldier",3,1,0,0,0,0,0,"Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)"
GRN,Bounty Agent,rare,{1}{W},W,Creature,"Human, Soldier",2,2,0,0,0,0,0,"Vigilance\n{T}, Sacrifice Bounty Agent: Destroy target legendary permanent that's an artifact, creature, or enchantment."
GRN,Candlelight Vigil,common,{3}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,Enchant creature\nEnchanted creature gets +3/+2 and has vigilance.
GRN,Citywide Bust,rare,{1}{W}{W},W,Sorcery,0,0,0,0,0,0,0,0,Destroy all creatures with toughness 4 or greater.
GRN,Collar the Culprit,common,{3}{W},W,Instant,0,0,0,0,0,0,0,0,Destroy target creature with toughness 4 or greater.
GRN,Conclave Tribunal,uncommon,{3}{W},W,Enchantment,0,0,0,0,0,0,0,0,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nWhen Conclave Tribunal enters the battlefield, exile target nonland permanent an opponent controls until Conclave Tribunal leaves the battlefield."
GRN,Crush Contraband,uncommon,{3}{W},W,Instant,0,0,0,0,0,0,0,0,Choose one or both —\n• Exile target artifact.\n• Exile target enchantment.
GRN,Dawn of Hope,rare,{1}{W},W,Enchantment,0,0,0,0,0,0,0,0,"Whenever you gain life, you may pay {2}. If you do, draw a card.\n{3}{W}: Create a 1/1 white Soldier creature token with lifelink."
GRN,Demotion,uncommon,{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant creature\nEnchanted creature can't block, and its activated abilities can't be activated."
GRN,Divine Visitation,mythic,{3}{W}{W},W,Enchantment,0,0,0,0,0,0,0,0,"If one or more creature tokens would be created under your control, that many 4/4 white Angel creature tokens with flying and vigilance are created instead."
GRN,Flight of Equenauts,uncommon,{7}{W},W,Creature,"Human, Knight",4,5,0,0,0,0,0,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nFlying
GRN,Gird for Battle,uncommon,{W},W,Sorcery,0,0,0,0,0,0,0,0,Put a +1/+1 counter on each of up to two target creatures.
GRN,Haazda Marshal,uncommon,{W},W,Creature,"Human, Soldier",1,1,0,0,0,0,0,"Whenever Haazda Marshal and at least two other creatures attack, create a 1/1 white Soldier creature token with lifelink."
GRN,Healer's Hawk,common,{W},W,Creature,Bird,1,1,0,0,0,0,0,"Flying, lifelink"
GRN,Hunted Witness,common,{W},W,Creature,Human,1,1,0,0,0,0,0,"When Hunted Witness dies, create a 1/1 white Soldier creature token with lifelink."
GRN,Inspiring Unicorn,uncommon,{2}{W}{W},W,Creature,Unicorn,2,2,0,0,0,0,0,"Whenever Inspiring Unicorn attacks, creatures you control get +1/+1 until end of turn."
GRN,Intrusive Packbeast,common,{4}{W},W,Creature,Beast,3,3,0,0,0,0,0,"Vigilance\nWhen Intrusive Packbeast enters the battlefield, tap up to two target creatures your opponents control."
GRN,Ledev Guardian,common,{3}{W},W,Creature,"Human, Knight",2,4,0,0,0,0,0,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
GRN,Light of the Legion,rare,{4}{W}{W},W,Creature,Angel,5,5,0,0,0,0,0,"Flying\nMentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)\nWhen Light of the Legion dies, put a +1/+1 counter on each white creature you control."
GRN,Loxodon Restorer,common,{4}{W}{W},W,Creature,"Elephant, Cleric",3,4,0,0,0,0,0,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nWhen Loxodon Restorer enters the battlefield, you gain 4 life."
GRN,Luminous Bonds,common,{2}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,Enchant creature\nEnchanted creature can't attack or block.
GRN,Parhelion Patrol,common,{3}{W},W,Creature,"Human, Knight",2,3,0,0,0,0,0,"Flying, vigilance\nMentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)"
GRN,Righteous Blow,common,{W},W,Instant,0,0,0,0,0,0,0,0,Righteous Blow deals 2 damage to target attacking or blocking creature.
GRN,Roc Charger,uncommon,{2}{W},W,Creature,Bird,1,3,0,0,0,0,0,"Flying\nWhenever Roc Charger attacks, target attacking creature without flying gains flying until end of turn."
GRN,Skyline Scout,common,{1}{W},W,Creature,"Human, Scout",2,1,0,0,0,0,0,"Whenever Skyline Scout attacks, you may pay {1}{W}. If you do, it gains flying until end of turn."
GRN,Sunhome Stalwart,uncommon,{1}{W},W,Creature,"Human, Soldier",2,2,0,0,0,0,0,"First strike\nMentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)"
GRN,Sworn Companions,common,{2}{W},W,Sorcery,0,0,0,0,0,0,0,0,Create two 1/1 white Soldier creature tokens with lifelink.
GRN,Take Heart,common,{W},W,Instant,0,0,0,0,0,0,0,0,Target creature gets +2/+2 until end of turn. You gain 1 life for each attacking creature you control.
GRN,Tenth District Guard,common,{1}{W},W,Creature,"Human, Soldier",2,2,0,0,0,0,0,"When Tenth District Guard enters the battlefield, target creature gets +0/+1 until end of turn."
GRN,Venerated Loxodon,rare,{4}{W},W,Creature,"Elephant, Cleric",4,4,0,0,0,0,0,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nWhen Venerated Loxodon enters the battlefield, put a +1/+1 counter on each creature that convoked it."
GRN,Capture Sphere,common,{3}{U},U,Enchantment,Aura,0,0,0,0,0,0,0,"Flash (You may cast this spell any time you could cast an instant.)\nEnchant creature\nWhen Capture Sphere enters the battlefield, tap enchanted creature.\nEnchanted creature doesn't untap during its controller's untap step."
GRN,Chemister's Insight,uncommon,{3}{U},U,Instant,0,0,0,0,0,0,0,0,Draw two cards.\nJump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)
GRN,Citywatch Sphinx,uncommon,{5}{U},U,Creature,Sphinx,5,4,0,0,0,0,0,"Flying\nWhen Citywatch Sphinx dies, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
GRN,Dazzling Lights,common,{U},U,Instant,0,0,0,0,0,0,0,0,"Target creature gets -3/-0 until end of turn.\nSurveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
GRN,Devious Cover-Up,common,{2}{U}{U},U,Instant,0,0,0,0,0,0,0,0,"Counter target spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard. You may shuffle up to four target cards from your graveyard into your library."
GRN,Dimir Informant,common,{2}{U},U,Creature,"Human, Rogue",1,4,0,0,0,0,0,"When Dimir Informant enters the battlefield, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
GRN,Disdainful Stroke,common,{1}{U},U,Instant,0,0,0,0,0,0,0,0,Counter target spell with mana value 4 or greater.
GRN,Dream Eater,mythic,{4}{U}{U},U,Creature,"Nightmare, Sphinx",4,3,0,0,0,0,0,"Flash\nFlying\nWhen Dream Eater enters the battlefield, surveil 4. When you do, you may return target nonland permanent an opponent controls to its owner's hand. (To surveil 4, look at the top four cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
GRN,Drowned Secrets,rare,{1}{U},U,Enchantment,0,0,0,0,0,0,0,0,"Whenever you cast a blue spell, target player mills two cards."
GRN,Enhanced Surveillance,uncommon,{1}{U},U,Enchantment,0,0,0,0,0,0,0,0,You may look at an additional two cards each time you surveil.\nExile Enhanced Surveillance: Shuffle your graveyard into your library.
GRN,Guild Summit,uncommon,{2}{U},U,Enchantment,0,0,0,0,0,0,0,0,"When Guild Summit enters the battlefield, you may tap any number of untapped Gates you control. Draw a card for each Gate tapped this way.\nWhenever a Gate enters the battlefield under your control, draw a card."
GRN,Leapfrog,common,{2}{U},U,Creature,Frog,3,1,0,0,0,0,0,Leapfrog has flying as long as you've cast an instant or sorcery spell this turn.
GRN,Maximize Altitude,common,{U},U,Sorcery,0,0,0,0,0,0,0,0,Target creature gets +1/+1 and gains flying until end of turn.\nJump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)
GRN,Mission Briefing,rare,{U}{U},U,Instant,0,0,0,0,0,0,0,0,"Surveil 2, then choose an instant or sorcery card in your graveyard. You may cast it this turn. If that spell would be put into your graveyard, exile it instead. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
GRN,Murmuring Mystic,uncommon,{3}{U},U,Creature,"Human, Wizard",1,5,0,0,0,0,0,"Whenever you cast an instant or sorcery spell, create a 1/1 blue Bird Illusion creature token with flying."
GRN,Muse Drake,common,{3}{U},U,Creature,Drake,1,3,0,0,0,0,0,"Flying\nWhen Muse Drake enters the battlefield, draw a card."
GRN,Narcomoeba,rare,{1}{U},U,Creature,Illusion,1,1,0,0,0,0,0,"Flying\nWhen Narcomoeba is put into your graveyard from your library, you may put it onto the battlefield."
GRN,Nightveil Sprite,uncommon,{1}{U},U,Creature,"Faerie, Rogue",1,2,0,0,0,0,0,"Flying\nWhenever Nightveil Sprite attacks, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)"
GRN,Omnispell Adept,rare,{4}{U},U,Creature,"Human, Wizard",3,4,0,0,0,0,0,"{2}{U}, {T}: You may cast an instant or sorcery spell from your hand without paying its mana cost."
GRN,Passwall Adept,common,{1}{U},U,Creature,"Human, Wizard",1,3,0,0,0,0,0,{2}{U}: Target creature can't be blocked this turn.
