setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
JOU,Aegis of the Gods,rare,{1}{W},W,"Enchantment, Creature","Human, Soldier",2,1,0,0,0,0,0,You have hexproof. (You can't be the target of spells or abilities your opponents control.)
JOU,Ajani's Presence,common,{W},W,Instant,0,0,0,0,0,0,0,0,"Strive — This spell costs {2}{W} more to cast for each target beyond the first.\nAny number of target creatures each get +1/+1 and gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)"
JOU,Akroan Mastiff,common,{3}{W},W,Creature,Dog,2,2,0,0,0,0,0,"{W}, {T}: Tap target creature."
JOU,Armament of Nyx,common,{2}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant creature\nEnchanted creature has double strike as long as it's an enchantment. Otherwise, prevent all damage that would be dealt by enchanted creature. (A creature with double strike deals both first-strike and regular combat damage.)"
JOU,Banishing Light,uncommon,{2}{W},W,Enchantment,0,0,0,0,0,0,0,0,"When Banishing Light enters the battlefield, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield."
JOU,Dawnbringer Charioteers,rare,{2}{W}{W},W,Creature,"Human, Soldier",2,4,0,0,0,0,0,"Flying, lifelink\nHeroic — Whenever you cast a spell that targets Dawnbringer Charioteers, put a +1/+1 counter on Dawnbringer Charioteers."
JOU,Deicide,rare,{1}{W},W,Instant,0,0,0,0,0,0,0,0,"Exile target enchantment. If the exiled card is a God card, search its controller's graveyard, hand, and library for any number of cards with the same name as that card and exile them. Then that player shuffles."
JOU,Dictate of Heliod,rare,{3}{W}{W},W,Enchantment,0,0,0,0,0,0,0,0,Flash\nCreatures you control get +2/+2.
JOU,Eagle of the Watch,common,{2}{W},W,Creature,Bird,2,1,0,0,0,0,0,"Flying, vigilance"
JOU,Eidolon of Rhetoric,uncommon,{2}{W},W,"Enchantment, Creature",Spirit,1,4,0,0,0,0,0,Each player can't cast more than one spell each turn.
JOU,Font of Vigor,common,{1}{W},W,Enchantment,0,0,0,0,0,0,0,0,"{2}{W}, Sacrifice Font of Vigor: You gain 7 life."
JOU,Godsend,mythic,{1}{W}{W},W,Artifact,Equipment,0,0,0,0,0,0,0,"Equipped creature gets +3/+3.\nWhenever equipped creature blocks or becomes blocked by one or more creatures, you may exile one of those creatures.\nYour opponents can't cast spells with the same name as a card exiled with Godsend.\nEquip {3}"
