setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
KHM,Axgard Braggart,common,{3}{W},W,Creature,"Dwarf, Warrior",3,3,0,0,0,0,0,Boast — {1}{W}: Untap Axgard Braggart. Put a +1/+1 counter on it. (Activate only if this creature attacked this turn and only once each turn.)
KHM,Battershield Warrior,uncommon,{2}{W},W,Creature,"Human, Warrior",2,2,0,0,0,0,0,Boast — {1}{W}: Creatures you control get +1/+1 until end of turn. (Activate only if this creature attacked this turn and only once each turn.)
KHM,Battlefield Raptor,common,{W},W,Creature,Bird,1,2,0,0,0,0,0,"Flying, first strike"
KHM,Beskir Shieldmate,common,{1}{W},W,Creature,"Human, Warrior",2,1,0,0,0,0,0,"When Beskir Shieldmate dies, create a 1/1 white Human Warrior creature token."
KHM,Bound in Gold,common,{2}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant permanent\nEnchanted permanent can't attack, block, or crew Vehicles, and its activated abilities can't be activated unless they're mana abilities."
KHM,Clarion Spirit,uncommon,{1}{W},W,Creature,Spirit,2,2,0,0,0,0,0,"Whenever you cast your second spell each turn, create a 1/1 white Spirit creature token with flying."
KHM,Codespell Cleric,common,{W},W,Creature,"Human, Cleric",1,1,0,0,0,0,0,"Vigilance\nWhen Codespell Cleric enters the battlefield, if it was the second spell you cast this turn, put a +1/+1 counter on target creature."
KHM,Divine Gambit,uncommon,{W}{W},W,Sorcery,0,0,0,0,0,0,0,0,"Exile target artifact, creature, or enchantment an opponent controls. That player may put a permanent card from their hand onto the battlefield."
KHM,Doomskar,rare,{3}{W}{W},W,Sorcery,0,0,0,0,0,0,0,0,"Destroy all creatures.\nForetell {1}{W}{W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
KHM,Doomskar Oracle,common,{2}{W},W,Creature,"Human, Cleric",3,2,0,0,0,0,0,"Whenever you cast your second spell each turn, you gain 2 life.\nForetell {W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
KHM,Giant Ox,common,{1}{W},W,Creature,Ox,0,6,0,0,0,0,0,Giant Ox crews Vehicles using its toughness rather than its power.
KHM,Glorious Protector,rare,{2}{W}{W},W,Creature,"Angel, Cleric",3,4,0,0,0,0,0,"Flash\nFlying\nWhen Glorious Protector enters the battlefield, you may exile any number of non-Angel creatures you control until Glorious Protector leaves the battlefield.\nForetell {2}{W}"
KHM,Gods' Hall Guardian,common,{5}{W},W,Creature,Cat,3,6,0,0,0,0,0,"Vigilance\nForetell {3}{W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
KHM,Goldmaw Champion,common,{2}{W},W,Creature,"Dwarf, Warrior",2,3,0,0,0,0,0,Boast — {1}{W}: Tap target creature. (Activate only if this creature attacked this turn and only once each turn.)
KHM,"Halvar, God of Battle // Sword of the Realms",mythic,{2}{W}{W},W,Creature,God,4,4,0,0,0,0,0,"Creatures you control that are enchanted or equipped have double strike.\nAt the beginning of each combat, you may attach target Aura or Equipment attached to a creature you control to target creature you control."
KHM,"Halvar, God of Battle // Sword of the Realms",mythic,{1}{W},W,Artifact,Equipment,0,0,0,0,0,0,0,"Equipped creature gets +2/+0 and has vigilance.\nWhenever equipped creature dies, return it to its owner's hand.\nEquip {1}{W}"
KHM,Invoke the Divine,common,{2}{W},W,Instant,0,0,0,0,0,0,0,0,Destroy target artifact or enchantment. You gain 4 life.
KHM,Iron Verdict,common,{2}{W},W,Instant,0,0,0,0,0,0,0,0,"Iron Verdict deals 5 damage to target tapped creature.\nForetell {W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
KHM,Kaya's Onslaught,uncommon,{2}{W},W,Instant,0,0,0,0,0,0,0,0,"Target creature gets +1/+1 and gains double strike until end of turn.\nForetell {W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)"
