setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
KLD,Acrobatic Maneuver,common,{2}{W},W,Instant,0,0,0,0,0,0,0,0,"Exile target creature you control, then return that card to the battlefield under its owner's control.\nDraw a card."
KLD,Aerial Responder,uncommon,{1}{W}{W},W,Creature,"Dwarf, Soldier",2,3,0,0,0,0,0,"Flying, vigilance, lifelink"
KLD,Aetherstorm Roc,rare,{2}{W}{W},W,Creature,Bird,3,3,0,0,0,0,0,"Flying\nWhenever Aetherstorm Roc or another creature enters the battlefield under your control, you get {E} (an energy counter).\nWhenever Aetherstorm Roc attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it and tap up to one target creature defending player controls."
KLD,Angel of Invention,mythic,{3}{W}{W},W,Creature,Angel,2,1,0,0,0,0,0,"Flying, vigilance, lifelink\nFabricate 2 (When this creature enters the battlefield, put two +1/+1 counters on it or create two 1/1 colorless Servo artifact creature tokens.)\nOther creatures you control get +1/+1."
KLD,Authority of the Consuls,rare,{W},W,Enchantment,0,0,0,0,0,0,0,0,"Creatures your opponents control enter the battlefield tapped.\nWhenever a creature enters the battlefield under an opponent's control, you gain 1 life."
KLD,Aviary Mechanic,common,{1}{W},W,Creature,"Dwarf, Artificer",2,2,0,0,0,0,0,"When Aviary Mechanic enters the battlefield, you may return another permanent you control to its owner's hand."
KLD,Built to Last,common,{W},W,Instant,0,0,0,0,0,0,0,0,"Target creature gets +2/+2 until end of turn. If it's an artifact creature, it gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
KLD,Captured by the Consulate,rare,{3}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant creature you don't control\nEnchanted creature can't attack.\nWhenever an opponent casts a spell, if it has a single target, change the target to enchanted creature if able."
KLD,Cataclysmic Gearhulk,mythic,{3}{W}{W},W,"Artifact, Creature",Construct,4,5,0,0,0,0,0,"Vigilance\nWhen Cataclysmic Gearhulk enters the battlefield, each player chooses an artifact, a creature, an enchantment, and a planeswalker from among the nonland permanents they control, then sacrifices the rest."
KLD,Consulate Surveillance,uncommon,{3}{W},W,Enchantment,0,0,0,0,0,0,0,0,"When Consulate Surveillance enters the battlefield, you get {E}{E}{E}{E} (four energy counters).\nPay {E}{E}: Prevent all damage that would be dealt to you this turn by a source of your choice."
KLD,Consul's Shieldguard,uncommon,{3}{W},W,Creature,"Dwarf, Soldier",3,4,0,0,0,0,0,"When Consul's Shieldguard enters the battlefield, you get {E}{E} (two energy counters).\nWhenever Consul's Shieldguard attacks, you may pay {E}. If you do, another target attacking creature gains indestructible until end of turn."
KLD,Eddytrail Hawk,common,{1}{W},W,Creature,Bird,1,2,0,0,0,0,0,"Flying\nWhen Eddytrail Hawk enters the battlefield, you get {E}{E} (two energy counters).\nWhenever Eddytrail Hawk attacks, you may pay {E}. If you do, another target attacking creature gains flying until end of turn."
KLD,Fairgrounds Warden,uncommon,{2}{W},W,Creature,"Dwarf, Soldier",1,3,0,0,0,0,0,"When Fairgrounds Warden enters the battlefield, exile target creature an opponent controls until Fairgrounds Warden leaves the battlefield."
KLD,Fragmentize,common,{W},W,Sorcery,0,0,0,0,0,0,0,0,Destroy target artifact or enchantment with mana value 4 or less.
KLD,Fumigate,rare,{3}{W}{W},W,Sorcery,0,0,0,0,0,0,0,0,Destroy all creatures. You gain 1 life for each creature destroyed this way.
KLD,Gearshift Ace,uncommon,{1}{W},W,Creature,"Dwarf, Pilot",2,1,0,0,0,0,0,"First strike\nWhenever Gearshift Ace crews a Vehicle, that Vehicle gains first strike until end of turn."
KLD,Glint-Sleeve Artisan,common,{2}{W},W,Creature,"Dwarf, Artificer",2,2,0,0,0,0,0,"Fabricate 1 (When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)"
KLD,Herald of the Fair,common,{2}{W},W,Creature,Human,3,2,0,0,0,0,0,"When Herald of the Fair enters the battlefield, target creature you control gets +1/+1 until end of turn."
KLD,Impeccable Timing,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,Impeccable Timing deals 3 damage to target attacking or blocking creature.
KLD,Inspired Charge,common,{2}{W}{W},W,Instant,0,0,0,0,0,0,0,0,Creatures you control get +2/+1 until end of turn.
KLD,Master Trinketeer,rare,{2}{W},W,Creature,"Dwarf, Artificer",3,2,0,0,0,0,0,Servos and Thopters you control get +1/+1.\n{3}{W}: Create a 1/1 colorless Servo artifact creature token.
KLD,Ninth Bridge Patrol,common,{1}{W},W,Creature,"Dwarf, Soldier",1,1,0,0,0,0,0,"Whenever another creature you control leaves the battlefield, put a +1/+1 counter on Ninth Bridge Patrol."
KLD,Pressure Point,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,Tap target creature.\nDraw a card.
KLD,Propeller Pioneer,common,{3}{W},W,Creature,"Human, Artificer",2,1,0,0,0,0,0,"Flying\nFabricate 1 (When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.)"
KLD,Refurbish,uncommon,{3}{W},W,Sorcery,0,0,0,0,0,0,0,0,Return target artifact card from your graveyard to the battlefield.
KLD,Revoke Privileges,common,{2}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant creature\nEnchanted creature can't attack, block, or crew Vehicles."
KLD,Servo Exhibition,uncommon,{1}{W},W,Sorcery,0,0,0,0,0,0,0,0,Create two 1/1 colorless Servo artifact creature tokens.
KLD,Skyswirl Harrier,common,{4}{W},W,Creature,Bird,3,4,0,0,0,0,0,Flying
KLD,Skywhaler's Shot,uncommon,{2}{W},W,Instant,0,0,0,0,0,0,0,0,Destroy target creature with power 3 or greater. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
KLD,Tasseled Dromedary,common,{W},W,Creature,Camel,0,4,0,0,0,0,0,0
KLD,Thriving Ibex,common,{3}{W},W,Creature,Goat,2,4,0,0,0,0,0,"When Thriving Ibex enters the battlefield, you get {E}{E} (two energy counters).\nWhenever Thriving Ibex attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it."
KLD,Toolcraft Exemplar,rare,{W},W,Creature,"Dwarf, Artificer",1,1,0,0,0,0,0,"At the beginning of combat on your turn, if you control an artifact, Toolcraft Exemplar gets +2/+1 until end of turn. If you control three or more artifacts, it also gains first strike until end of turn."
KLD,Trusty Companion,uncommon,{1}{W},W,Creature,Hyena,3,2,0,0,0,0,0,Vigilance\nTrusty Companion can't attack alone.
KLD,Visionary Augmenter,uncommon,{2}{W}{W},W,Creature,"Dwarf, Artificer",2,1,0,0,0,0,0,"Fabricate 2 (When this creature enters the battlefield, put two +1/+1 counters on it or create two 1/1 colorless Servo artifact creature tokens.)"
KLD,Wispweaver Angel,uncommon,{4}{W}{W},W,Creature,Angel,4,4,0,0,0,0,0,"Flying\nWhen Wispweaver Angel enters the battlefield, you may exile another target creature you control, then return that card to the battlefield under its owner's control."
KLD,Aether Meltdown,uncommon,{1}{U},U,Enchantment,Aura,0,0,0,0,0,0,0,"Flash (You may cast this spell any time you could cast an instant.)\nEnchant creature or Vehicle\nWhen Aether Meltdown enters the battlefield, you get {E}{E} (two energy counters).\nEnchanted creature gets -4/-0."
KLD,Aether Theorist,common,{1}{U},U,Creature,"Vedalken, Rogue",1,3,0,0,0,0,0,"When Aether Theorist enters the battlefield, you get {E}{E}{E} (three energy counters).\n{T}, Pay {E}: Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)"
KLD,Aether Tradewinds,common,{2}{U},U,Instant,0,0,0,0,0,0,0,0,Return target permanent you control and target permanent you don't control to their owners' hands.
KLD,Aethersquall Ancient,rare,{5}{U}{U},U,Creature,Leviathan,6,6,0,0,0,0,0,"Flying\nAt the beginning of your upkeep, you get {E}{E}{E} (three energy counters).\nPay {E}{E}{E}{E}{E}{E}{E}{E}: Return all other creatures to their owners' hands. Activate only as a sorcery."
KLD,Ceremonious Rejection,uncommon,{U},U,Instant,0,0,0,0,0,0,0,0,Counter target colorless spell.
KLD,Confiscation Coup,rare,{3}{U}{U},U,Sorcery,0,0,0,0,0,0,0,0,"Choose target artifact or creature. You get {E}{E}{E}{E} (four energy counters), then you may pay an amount of {E} equal to that permanent's mana value. If you do, gain control of it."
KLD,Curio Vendor,common,{1}{U},U,Creature,Vedalken,2,1,0,0,0,0,0,0
KLD,Disappearing Act,uncommon,{1}{U}{U},U,Instant,0,0,0,0,0,0,0,0,"As an additional cost to cast this spell, return a permanent you control to its owner's hand.\nCounter target spell."
KLD,Dramatic Reversal,common,{1}{U},U,Instant,0,0,0,0,0,0,0,0,Untap all nonland permanents you control.
KLD,Era of Innovation,uncommon,{1}{U},U,Enchantment,0,0,0,0,0,0,0,0,"Whenever an artifact or Artificer enters the battlefield under your control, you may pay {1}. If you do, you get {E}{E} (two energy counters).\nPay {E}{E}{E}{E}{E}{E}, Sacrifice Era of Innovation: Draw three cards."
KLD,Experimental Aviator,uncommon,{3}{U}{U},U,Creature,"Human, Artificer",0,3,0,0,0,0,0,"Flying\nWhen Experimental Aviator enters the battlefield, create two 1/1 colorless Thopter artifact creature tokens with flying."
KLD,Failed Inspection,common,{2}{U}{U},U,Instant,0,0,0,0,0,0,0,0,"Counter target spell. Draw a card, then discard a card."
KLD,Gearseeker Serpent,common,{5}{U}{U},U,Creature,Serpent,5,6,0,0,0,0,0,This spell costs {1} less to cast for each artifact you control.\n{5}{U}: Gearseeker Serpent can't be blocked this turn.
KLD,Glimmer of Genius,uncommon,{3}{U},U,Instant,0,0,0,0,0,0,0,0,"Scry 2, then draw two cards. You get {E}{E} (two energy counters)."
KLD,Glint-Nest Crane,uncommon,{1}{U},U,Creature,Bird,1,3,0,0,0,0,0,"Flying\nWhen Glint-Nest Crane enters the battlefield, look at the top four cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in any order."
KLD,Hightide Hermit,common,{4}{U},U,Creature,Crab,4,4,0,0,0,0,0,"Defender\nWhen Hightide Hermit enters the battlefield, you get {E}{E}{E}{E} (four energy counters).\nPay {E}{E}: Hightide Hermit can attack this turn as though it didn't have defender."
KLD,Insidious Will,rare,{2}{U}{U},U,Instant,0,0,0,0,0,0,0,0,Choose one —\n• Counter target spell.\n• You may choose new targets for target spell.\n• Copy target instant or sorcery spell. You may choose new targets for the copy.
KLD,Janjeet Sentry,uncommon,{2}{U},U,Creature,"Vedalken, Soldier",2,3,0,0,0,0,0,"When Janjeet Sentry enters the battlefield, you get {E}{E} (two energy counters).\n{T}, Pay {E}{E}: You may tap or untap target artifact or creature."
KLD,Long-Finned Skywhale,uncommon,{2}{U}{U},U,Creature,Whale,4,3,0,0,0,0,0,Flying\nLong-Finned Skywhale can block only creatures with flying.
KLD,Malfunction,common,{3}{U},U,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant artifact or creature\nWhen Malfunction enters the battlefield, tap enchanted permanent.\nEnchanted permanent doesn't untap during its controller's untap step."
KLD,Metallurgic Summonings,mythic,{3}{U}{U},U,Enchantment,0,0,0,0,0,0,0,0,"Whenever you cast an instant or sorcery spell, create an X/X colorless Construct artifact creature token, where X is that spell's mana value.\n{3}{U}{U}, Exile Metallurgic Summonings: Return all instant and sorcery cards from your graveyard to your hand. Activate only if you control six or more artifacts."
KLD,Minister of Inquiries,uncommon,{U},U,Creature,"Vedalken, Advisor",1,2,0,0,0,0,0,"When Minister of Inquiries enters the battlefield, you get {E}{E} (two energy counters).\n{T}, Pay {E}: Target player mills three cards."
KLD,Nimble Innovator,common,{3}{U},U,Creature,"Vedalken, Artificer",2,2,0,0,0,0,0,"When Nimble Innovator enters the battlefield, draw a card."
KLD,"Padeem, Consul of Innovation",rare,{3}{U},U,Creature,"Vedalken, Artificer",1,4,0,0,0,0,0,"Artifacts you control have hexproof.\nAt the beginning of your upkeep, if you control the artifact with the highest mana value or tied for the highest mana value, draw a card."
KLD,Paradoxical Outcome,rare,{3}{U},U,Instant,0,0,0,0,0,0,0,0,"Return any number of target nonland, nontoken permanents you control to their owners' hands. Draw a card for each card returned to your hand this way."
KLD,Revolutionary Rebuff,common,{1}{U},U,Instant,0,0,0,0,0,0,0,0,Counter target nonartifact spell unless its controller pays {2}.
KLD,Saheeli's Artistry,rare,{4}{U}{U},U,Sorcery,0,0,0,0,0,0,0,0,"Choose one or both —\n• Create a token that's a copy of target artifact.\n• Create a token that's a copy of target creature, except it's an artifact in addition to its other types."
KLD,Select for Inspection,common,{U},U,Instant,0,0,0,0,0,0,0,0,Return target tapped creature to its owner's hand. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
KLD,Shrewd Negotiation,uncommon,{4}{U},U,Sorcery,0,0,0,0,0,0,0,0,Exchange control of target artifact you control and target artifact or creature you don't control.
KLD,Tezzeret's Ambition,common,{3}{U}{U},U,Sorcery,0,0,0,0,0,0,0,0,"Draw three cards. If you control no artifacts, discard a card."
KLD,Thriving Turtle,common,{U},U,Creature,Turtle,0,3,0,0,0,0,0,"When Thriving Turtle enters the battlefield, you get {E}{E} (two energy counters).\nWhenever Thriving Turtle attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it."
KLD,Torrential Gearhulk,mythic,{4}{U}{U},U,"Artifact, Creature",Construct,5,6,0,0,0,0,0,"Flash\nWhen Torrential Gearhulk enters the battlefield, you may cast target instant card from your graveyard without paying its mana cost. If that spell would be put into your graveyard, exile it instead."
KLD,Vedalken Blademaster,common,{2}{U},U,Creature,"Vedalken, Soldier",2,3,0,0,0,0,0,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)"
