setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
KTK,Abzan Battle Priest,uncommon,{3}{W},W,Creature,"Human, Cleric",3,2,0,0,0,0,0,"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)\nEach creature you control with a +1/+1 counter on it has lifelink."
KTK,Abzan Falconer,uncommon,{2}{W},W,Creature,"Human, Soldier",2,3,0,0,0,0,0,"Outlast {W} ({W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)\nEach creature you control with a +1/+1 counter on it has flying."
KTK,Ainok Bond-Kin,common,{1}{W},W,Creature,"Dog, Soldier",2,1,0,0,0,0,0,"Outlast {1}{W} ({1}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)\nEach creature you control with a +1/+1 counter on it has first strike."
KTK,Alabaster Kirin,common,{3}{W},W,Creature,Kirin,2,3,0,0,0,0,0,"Flying, vigilance"
KTK,Brave the Sands,uncommon,{1}{W},W,Enchantment,0,0,0,0,0,0,0,0,Creatures you control have vigilance.\nEach creature you control can block an additional creature each combat.
KTK,Dazzling Ramparts,uncommon,{4}{W},W,Creature,Wall,0,7,0,0,0,0,0,"Defender\n{1}{W}, {T}: Tap target creature."
KTK,Defiant Strike,common,{W},W,Instant,0,0,0,0,0,0,0,0,Target creature gets +1/+0 until end of turn.\nDraw a card.
KTK,End Hostilities,rare,{3}{W}{W},W,Sorcery,0,0,0,0,0,0,0,0,Destroy all creatures and all permanents attached to creatures.
KTK,Erase,common,{W},W,Instant,0,0,0,0,0,0,0,0,Exile target enchantment.
KTK,Feat of Resistance,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,"Put a +1/+1 counter on target creature you control. It gains protection from the color of your choice until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything of that color.)"
KTK,Firehoof Cavalry,common,{W},"R, W",Creature,"Human, Berserker",1,1,0,0,0,0,0,{3}{R}: Firehoof Cavalry gets +2/+0 and gains trample until end of turn.
KTK,Herald of Anafenza,rare,{W},W,Creature,"Human, Soldier",1,2,0,0,0,0,0,"Outlast {2}{W} ({2}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)\nWhenever you activate Herald of Anafenza's outlast ability, create a 1/1 white Warrior creature token."
KTK,High Sentinels of Arashin,rare,{3}{W},W,Creature,"Bird, Soldier",3,4,0,0,0,0,0,Flying\nHigh Sentinels of Arashin gets +1/+1 for each other creature you control with a +1/+1 counter on it.\n{3}{W}: Put a +1/+1 counter on target creature.
KTK,Jeskai Student,common,{1}{W},W,Creature,"Human, Monk",1,3,0,0,0,0,0,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)"
KTK,Kill Shot,common,{2}{W},W,Instant,0,0,0,0,0,0,0,0,Destroy target attacking creature.
KTK,Mardu Hateblade,common,{W},"B, W",Creature,"Human, Warrior",1,1,0,0,0,0,0,{B}: Mardu Hateblade gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)
KTK,Mardu Hordechief,common,{2}{W},W,Creature,"Human, Warrior",2,3,0,0,0,0,0,"Raid — When Mardu Hordechief enters the battlefield, if you attacked this turn, create a 1/1 white Warrior creature token."
KTK,Master of Pearls,rare,{1}{W},W,Creature,"Human, Monk",2,2,0,0,0,0,0,"Morph {3}{W}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Master of Pearls is turned face up, creatures you control get +2/+2 until end of turn."
KTK,Rush of Battle,common,{3}{W},W,Sorcery,0,0,0,0,0,0,0,0,Creatures you control get +2/+1 until end of turn. Warrior creatures you control gain lifelink until end of turn. (Damage dealt by those Warriors also causes their controller to gain that much life.)
KTK,Sage-Eye Harrier,common,{4}{W},W,Creature,"Bird, Warrior",1,5,0,0,0,0,0,Flying\nMorph {3}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
KTK,Salt Road Patrol,common,{3}{W},W,Creature,"Human, Scout",2,5,0,0,0,0,0,"Outlast {1}{W} ({1}{W}, {T}: Put a +1/+1 counter on this creature. Outlast only as a sorcery.)"
KTK,Seeker of the Way,uncommon,{1}{W},W,Creature,"Human, Warrior",2,2,0,0,0,0,0,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)\nWhenever you cast a noncreature spell, Seeker of the Way gains lifelink until end of turn."
KTK,Siegecraft,common,{3}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,Enchant creature\nEnchanted creature gets +2/+4.
KTK,Smite the Monstrous,common,{3}{W},W,Instant,0,0,0,0,0,0,0,0,Destroy target creature with power 4 or greater.
KTK,Suspension Field,uncommon,{1}{W},W,Enchantment,0,0,0,0,0,0,0,0,"When Suspension Field enters the battlefield, you may exile target creature with toughness 3 or greater until Suspension Field leaves the battlefield. (That creature returns under its owner's control.)"
KTK,Take Up Arms,uncommon,{4}{W},W,Instant,0,0,0,0,0,0,0,0,Create three 1/1 white Warrior creature tokens.
