setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
RNA,Angel of Grace,mythic,{3}{W}{W},W,Creature,Angel,5,4,0,0,0,0,0,"Flash\nFlying\nWhen Angel of Grace enters the battlefield, until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead.\n{4}{W}{W}, Exile Angel of Grace from your graveyard: Your life total becomes 10."
RNA,Angelic Exaltation,uncommon,{3}{W},W,Enchantment,0,0,0,0,0,0,0,0,"Whenever a creature you control attacks alone, it gets +X/+X until end of turn, where X is the number of creatures you control."
RNA,Archway Angel,uncommon,{5}{W},W,Creature,Angel,3,4,0,0,0,0,0,"Flying\nWhen Archway Angel enters the battlefield, you gain 2 life for each Gate you control."
RNA,Arrester's Zeal,common,{W},W,Instant,0,0,0,0,0,0,0,0,"Target creature gets +2/+2 until end of turn.\nAddendum — If you cast this spell during your main phase, that creature gains flying until end of turn."
RNA,Bring to Trial,common,{2}{W},W,Sorcery,0,0,0,0,0,0,0,0,Exile target creature with power 4 or greater.
RNA,Civic Stalwart,common,{3}{W},W,Creature,"Elephant, Soldier",3,3,0,0,0,0,0,"When Civic Stalwart enters the battlefield, creatures you control get +1/+1 until end of turn."
RNA,Concordia Pegasus,common,{1}{W},W,Creature,Pegasus,1,3,0,0,0,0,0,Flying
RNA,Expose to Daylight,common,{2}{W},W,Instant,0,0,0,0,0,0,0,0,Destroy target artifact or enchantment. Scry 1.
RNA,Forbidding Spirit,uncommon,{1}{W}{W},W,Creature,"Spirit, Cleric",3,3,0,0,0,0,0,"When Forbidding Spirit enters the battlefield, until your next turn, creatures can't attack you or planeswalkers you control unless their controller pays {2} for each of those creatures."
RNA,Haazda Officer,common,{2}{W},W,Creature,"Human, Soldier",3,2,0,0,0,0,0,"When Haazda Officer enters the battlefield, target creature you control gets +1/+1 until end of turn."
RNA,Hero of Precinct One,rare,{1}{W},W,Creature,"Human, Warrior",2,2,0,0,0,0,0,"Whenever you cast a multicolored spell, create a 1/1 white Human creature token."
RNA,Impassioned Orator,common,{1}{W},W,Creature,"Human, Cleric",2,2,0,0,0,0,0,"Whenever another creature enters the battlefield under your control, you gain 1 life."
RNA,Justiciar's Portal,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,"Exile target creature you control, then return that card to the battlefield under its owner's control. It gains first strike until end of turn."
