setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
STX,Environmental Sciences,common,{2},0,Sorcery,Lesson,0,0,0,0,0,0,0,"Search your library for a basic land card, reveal it, put it into your hand, then shuffle. You gain 2 life."
STX,Expanded Anatomy,common,{3},0,Sorcery,Lesson,0,0,0,0,0,0,0,Put two +1/+1 counters on target creature. It gains vigilance until end of turn.
STX,Introduction to Annihilation,common,{5},0,Sorcery,Lesson,0,0,0,0,0,0,0,Exile target nonland permanent. Its controller draws a card.
STX,Introduction to Prophecy,common,{3},0,Sorcery,Lesson,0,0,0,0,0,0,0,"Scry 2, then draw a card."
STX,Mascot Exhibition,mythic,{7},0,Sorcery,Lesson,0,0,0,0,0,0,0,"Create a 2/1 white and black Inkling creature token with flying, a 3/2 red and white Spirit creature token, and a 4/4 blue and red Elemental creature token."
STX,Wandering Archaic // Explore the Vastlands,rare,{5},0,Creature,Avatar,4,4,0,0,0,0,0,"Whenever an opponent casts an instant or sorcery spell, they may pay {2}. If they don't, you may copy that spell. You may choose new targets for the copy."
STX,Wandering Archaic // Explore the Vastlands,rare,{3},0,Sorcery,0,0,0,0,0,0,0,0,Each player looks at the top five cards of their library and may reveal a land card and/or an instant or sorcery card from among them. Each player puts the cards they revealed this way into their hand and the rest on the bottom of their library in a random order. Each player gains 3 life.
STX,Academic Probation,rare,{1}{W},W,Sorcery,Lesson,0,0,0,0,0,0,0,"Choose one —\n• Choose a nonland card name. Opponents can't cast spells with the chosen name until your next turn.\n• Choose target nonland permanent. Until your next turn, it can't attack or block, and its activated abilities can't be activated."
STX,Ageless Guardian,common,{1}{W},W,Creature,"Spirit, Soldier",1,4,0,0,0,0,0,0
STX,Beaming Defiance,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,Target creature you control gets +2/+2 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
STX,Clever Lumimancer,uncommon,{W},W,Creature,"Human, Wizard",0,1,0,0,0,0,0,"Magecraft — Whenever you cast or copy an instant or sorcery spell, Clever Lumimancer gets +2/+2 until end of turn."
STX,Combat Professor,common,{3}{W},W,Creature,"Bird, Cleric",2,3,0,0,0,0,0,"Flying\nAt the beginning of combat on your turn, target creature you control gets +1/+0 and gains vigilance until end of turn."
STX,Defend the Campus,common,{3}{W},W,Instant,0,0,0,0,0,0,0,0,Choose one —\n• Creatures you control get +1/+1 until end of turn.\n• Destroy target creature with power 4 or greater.
STX,Detention Vortex,uncommon,{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant nonland permanent\nEnchanted permanent can't attack or block, and its activated abilities can't be activated.\n{3}: Destroy Detention Vortex. Only your opponents may activate this ability and only as a sorcery."
STX,Devastating Mastery,rare,{2}{W}{W}{W}{W},W,Sorcery,0,0,0,0,0,0,0,0,"You may pay {2}{W}{W} rather than pay this spell's mana cost.\nIf the {2}{W}{W} cost was paid, an opponent chooses up to two nonland permanents they control and returns them to their owner's hand.\nDestroy all nonland permanents."
STX,Dueling Coach,uncommon,{3}{W},W,Creature,"Human, Monk",2,2,0,0,0,0,0,"When Dueling Coach enters the battlefield, put a +1/+1 counter on target creature.\n{4}{W}, {T}: Put a +1/+1 counter on each creature you control with a +1/+1 counter on it."
STX,A-Dueling Coach,uncommon,{3}{W},W,Creature,"Human, Monk",2,2,0,0,0,0,0,"When Dueling Coach enters the battlefield, distribute two +1/+1 counters among one or two target creatures you control.\n{W}, {T}: Put a +1/+1 counter on each creature you control with a +1/+1 counter on it."
STX,Eager First-Year,common,{1}{W},W,Creature,"Human, Wizard",2,2,0,0,0,0,0,"Magecraft — Whenever you cast or copy an instant or sorcery spell, Eager First-Year gets +1/+0 until end of turn."
STX,Elite Spellbinder,rare,{2}{W},W,Creature,"Human, Cleric",3,1,0,0,0,0,0,"Flying\nWhen Elite Spellbinder enters the battlefield, look at target opponent's hand. You may exile a nonland card from it. For as long as that card remains exiled, its owner may play it. A spell cast this way costs {2} more to cast."
STX,Expel,common,{2}{W},W,Instant,0,0,0,0,0,0,0,0,Exile target tapped creature.
STX,Guiding Voice,common,{W},W,Sorcery,0,0,0,0,0,0,0,0,"Put a +1/+1 counter on target creature.\nLearn. (You may reveal a Lesson card you own from outside the game and put it into your hand, or discard a card to draw a card.)"
STX,Leonin Lightscribe,rare,{1}{W},W,Creature,"Cat, Cleric",2,2,0,0,0,0,0,"Magecraft — Whenever you cast or copy an instant or sorcery spell, creatures you control get +1/+1 until end of turn."
STX,"Mavinda, Students' Advocate",mythic,{2}{W},W,Creature,"Bird, Advisor",2,3,0,0,0,0,0,"Flying\n{0}: You may cast target instant or sorcery card from your graveyard this turn. If that spell doesn't target a creature you control, it costs {8} more to cast this way. If that spell would be put into your graveyard, exile it instead. Activate only once each turn. (You still pay the spell's costs. Timing rules for the spell still apply.)"
STX,Pilgrim of the Ages,common,{2}{W},W,Creature,Spirit,2,1,0,0,0,0,0,"When Pilgrim of the Ages enters the battlefield, you may search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.\n{6}: Return Pilgrim of the Ages from your graveyard to your hand."
STX,Pillardrop Rescuer,common,{4}{W},W,Creature,"Spirit, Cleric",2,2,0,0,0,0,0,"Flying\nWhen Pillardrop Rescuer enters the battlefield, return target creature card with mana value 3 or less from your graveyard to your hand."
STX,Professor of Symbology,uncommon,{1}{W},W,Creature,"Kor, Cleric",2,1,0,0,0,0,0,"When Professor of Symbology enters the battlefield, learn. (You may reveal a Lesson card you own from outside the game and put it into your hand, or discard a card to draw a card.)"
STX,Reduce to Memory,uncommon,{1}{W}{W},W,Sorcery,Lesson,0,0,0,0,0,0,0,Exile target nonland permanent. Its controller creates a 3/2 red and white Spirit creature token.
STX,Secret Rendezvous,uncommon,{1}{W}{W},W,Sorcery,0,0,0,0,0,0,0,0,You and target opponent each draw three cards.
STX,Semester's End,rare,{3}{W},W,Instant,0,0,0,0,0,0,0,0,"Exile any number of target creatures and/or planeswalkers you control. At the beginning of the next end step, return each of them to the battlefield under its owner's control. Each of them enters the battlefield with an additional +1/+1 counter on it if it's a creature and an additional loyalty counter on it if it's a planeswalker."
STX,Show of Confidence,uncommon,{1}{W},W,Instant,0,0,0,0,0,0,0,0,"When you cast this spell, copy it for each other instant and sorcery spell you've cast this turn. You may choose new targets for the copies.\nPut a +1/+1 counter on target creature. It gains vigilance until end of turn."
