setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
THB,Alseid of Life's Bounty,uncommon,{W},W,"Enchantment, Creature",Nymph,1,1,0,0,0,0,0,"Lifelink\n{1}, Sacrifice Alseid of Life's Bounty: Target creature or enchantment you control gains protection from the color of your choice until end of turn."
THB,Archon of Falling Stars,uncommon,{4}{W}{W},W,Creature,Archon,4,4,0,0,0,0,0,"Flying\nWhen Archon of Falling Stars dies, you may return target enchantment card from your graveyard to the battlefield."
THB,Archon of Sun's Grace,rare,{2}{W}{W},W,Creature,Archon,3,4,0,0,0,0,0,"Flying, lifelink\nPegasus creatures you control have lifelink.\nConstellation — Whenever an enchantment enters the battlefield under your control, create a 2/2 white Pegasus creature token with flying."
THB,Banishing Light,uncommon,{2}{W},W,Enchantment,0,0,0,0,0,0,0,0,"When Banishing Light enters the battlefield, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield."
THB,The Birth of Meletis,uncommon,{1}{W},W,Enchantment,Saga,0,0,0,0,0,0,0,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)\nI — Search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.\nII — Create a 0/4 colorless Wall artifact creature token with defender.\nIII — You gain 2 life."
THB,Captivating Unicorn,common,{4}{W},W,Creature,Unicorn,4,4,0,0,0,0,0,"Constellation — Whenever an enchantment enters the battlefield under your control, tap target creature an opponent controls."
THB,Commanding Presence,uncommon,{3}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant creature\nEnchanted creature gets +2/+2 and has first strike and ""Whenever this creature deals combat damage to a player, create a 1/1 white Human Soldier creature token."""
THB,Dawn Evangel,uncommon,{2}{W},W,"Enchantment, Creature","Human, Cleric",2,3,0,0,0,0,0,"Whenever a creature dies, if an Aura you controlled was attached to it, return target creature card with mana value 2 or less from your graveyard to your hand."
THB,"Daxos, Blessed by the Sun",uncommon,{W}{W},W,"Enchantment, Creature",Demigod,2,*,0,0,0,0,0,"Daxos's toughness is equal to your devotion to white. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)\nWhenever another creature you control enters the battlefield or dies, you gain 1 life."
THB,Daybreak Chimera,common,{3}{W}{W},W,Creature,Chimera,3,3,0,0,0,0,0,"This spell costs {X} less to cast, where X is your devotion to white. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)\nFlying"
