setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
THS,Battlewise Valor,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,Target creature gets +2/+2 until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
THS,Cavalry Pegasus,common,{1}{W},W,Creature,Pegasus,1,1,0,0,0,0,0,"Flying\nWhenever Cavalry Pegasus attacks, each attacking Human gains flying until end of turn."
THS,Celestial Archon,rare,{3}{W}{W},W,"Enchantment, Creature",Archon,4,4,0,0,0,0,0,"Bestow {5}{W}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nFlying, first strike\nEnchanted creature gets +4/+4 and has flying and first strike."
THS,Chained to the Rocks,rare,{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant Mountain you control\nWhen Chained to the Rocks enters the battlefield, exile target creature an opponent controls until Chained to the Rocks leaves the battlefield. (That creature returns under its owner's control.)"
THS,Chosen by Heliod,common,{1}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant creature\nWhen Chosen by Heliod enters the battlefield, draw a card.\nEnchanted creature gets +0/+2."
THS,Dauntless Onslaught,uncommon,{2}{W},W,Instant,0,0,0,0,0,0,0,0,Up to two target creatures each get +2/+2 until end of turn.
THS,Decorated Griffin,uncommon,{4}{W},W,Creature,Griffin,2,3,0,0,0,0,0,Flying\n{1}{W}: Prevent the next 1 combat damage that would be dealt to you this turn.
THS,Divine Verdict,common,{3}{W},W,Instant,0,0,0,0,0,0,0,0,Destroy target attacking or blocking creature.
THS,"Elspeth, Sun's Champion",mythic,{4}{W}{W},W,Planeswalker,Elspeth,0,0,0,0,0,0,0,"[+1]: Create three 1/1 white Soldier creature tokens.\n[−3]: Destroy all creatures with power 4 or greater.\n[−7]: You get an emblem with ""Creatures you control get +2/+2 and have flying."""
THS,Ephara's Warden,common,{3}{W},W,Creature,"Human, Cleric",1,2,0,0,0,0,0,{T}: Tap target creature with power 3 or less.
THS,Evangel of Heliod,uncommon,{4}{W}{W},W,Creature,"Human, Cleric",1,3,0,0,0,0,0,"When Evangel of Heliod enters the battlefield, create a number of 1/1 white Soldier creature tokens equal to your devotion to white. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)"
THS,Fabled Hero,rare,{1}{W}{W},W,Creature,"Human, Soldier",2,2,0,0,0,0,0,"Double strike\nHeroic — Whenever you cast a spell that targets Fabled Hero, put a +1/+1 counter on Fabled Hero."
THS,Favored Hoplite,uncommon,{W},W,Creature,"Human, Soldier",1,2,0,0,0,0,0,"Heroic — Whenever you cast a spell that targets Favored Hoplite, put a +1/+1 counter on Favored Hoplite and prevent all damage that would be dealt to it this turn."
THS,Gift of Immortality,rare,{2}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant creature\nWhen enchanted creature dies, return that card to the battlefield under its owner's control. Return Gift of Immortality to the battlefield attached to that creature at the beginning of the next end step."
THS,Glare of Heresy,uncommon,{1}{W},W,Sorcery,0,0,0,0,0,0,0,0,Exile target white permanent.
THS,Gods Willing,common,{W},W,Instant,0,0,0,0,0,0,0,0,"Target creature you control gains protection from the color of your choice until end of turn. (It can't be blocked, targeted, dealt damage, enchanted, or equipped by anything of that color.)\nScry 1."
THS,"Heliod, God of the Sun",mythic,{3}{W},W,"Enchantment, Creature",God,5,6,0,0,0,0,0,"Indestructible\nAs long as your devotion to white is less than five, Heliod isn't a creature. (Each {W} in the mana costs of permanents you control counts toward your devotion to white.)\nOther creatures you control have vigilance.\n{2}{W}{W}: Create a 2/1 white Cleric enchantment creature token."
THS,Heliod's Emissary,uncommon,{3}{W},W,"Enchantment, Creature",Elk,3,3,0,0,0,0,0,"Bestow {6}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nWhenever Heliod's Emissary or enchanted creature attacks, tap target creature an opponent controls.\nEnchanted creature gets +3/+3."
THS,Hopeful Eidolon,common,{W},W,"Enchantment, Creature",Spirit,1,1,0,0,0,0,0,"Bestow {3}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nLifelink (Damage dealt by this creature also causes you to gain that much life.)\nEnchanted creature gets +1/+1 and has lifelink."
THS,Hundred-Handed One,rare,{2}{W}{W},W,Creature,Giant,3,5,0,0,0,0,0,"Vigilance\n{3}{W}{W}{W}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)\nAs long as Hundred-Handed One is monstrous, it has reach and can block an additional ninety-nine creatures each combat."
THS,Lagonna-Band Elder,common,{2}{W},W,Creature,"Centaur, Advisor",3,2,0,0,0,0,0,"When Lagonna-Band Elder enters the battlefield, if you control an enchantment, you gain 3 life."
THS,Last Breath,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,Exile target creature with power 2 or less. Its controller gains 4 life.
THS,Leonin Snarecaster,common,{1}{W},W,Creature,"Cat, Soldier",2,1,0,0,0,0,0,"When Leonin Snarecaster enters the battlefield, you may tap target creature."
THS,Observant Alseid,common,{2}{W},W,"Enchantment, Creature",Nymph,2,2,0,0,0,0,0,"Bestow {4}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nVigilance\nEnchanted creature gets +2/+2 and has vigilance."
