setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
WAR,"Karn, the Great Creator",rare,{4},0,Planeswalker,Karn,0,0,0,0,0,0,0,"Activated abilities of artifacts your opponents control can't be activated.\n[+1]: Until your next turn, up to one target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value.\n[−2]: You may reveal an artifact card you own from outside the game or choose a face-up artifact card you own in exile. Put that card into your hand."
WAR,"Karn, the Great Creator",rare,{4},0,Planeswalker,Karn,0,0,0,0,0,0,0,"Activated abilities of artifacts your opponents control can't be activated.\n[+1]: Until your next turn, up to one target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value.\n[−2]: You may reveal an artifact card you own from outside the game or choose a face-up artifact card you own in exile. Put that card into your hand."
WAR,"Ugin, the Ineffable",rare,{6},0,Planeswalker,Ugin,0,0,0,0,0,0,0,"Colorless spells you cast cost {2} less to cast.\n[+1]: Exile the top card of your library face down and look at it. Create a 2/2 colorless Spirit creature token. When that token leaves the battlefield, put the exiled card into your hand.\n[−3]: Destroy target permanent that's one or more colors."
WAR,"Ugin, the Ineffable",rare,{6},0,Planeswalker,Ugin,0,0,0,0,0,0,0,"Colorless spells you cast cost {2} less to cast.\n[+1]: Exile the top card of your library face down and look at it. Create a 2/2 colorless Spirit creature token. When that token leaves the battlefield, put the exiled card into your hand.\n[−3]: Destroy target permanent that's one or more colors."
WAR,Ugin's Conjurant,uncommon,{X},0,Creature,"Spirit, Monk",0,0,0,0,0,0,0,"Ugin's Conjurant enters the battlefield with X +1/+1 counters on it.\nIf damage would be dealt to Ugin's Conjurant while it has a +1/+1 counter on it, prevent that damage and remove that many +1/+1 counters from Ugin's Conjurant."
WAR,Ajani's Pridemate,uncommon,{1}{W},W,Creature,"Cat, Soldier",2,2,0,0,0,0,0,"Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate."
WAR,Battlefield Promotion,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,Put a +1/+1 counter on target creature. That creature gains first strike until end of turn. You gain 2 life.
WAR,Bond of Discipline,uncommon,{4}{W},W,Sorcery,0,0,0,0,0,0,0,0,Tap all creatures your opponents control. Creatures you control gain lifelink until end of turn.
WAR,Bulwark Giant,common,{5}{W},W,Creature,"Giant, Soldier",3,6,0,0,0,0,0,"When Bulwark Giant enters the battlefield, you gain 5 life."
WAR,Charmed Stray,common,{W},W,Creature,Cat,1,1,0,0,0,0,0,"Lifelink\nWhen Charmed Stray enters the battlefield, put a +1/+1 counter on each other creature you control named Charmed Stray."
WAR,Defiant Strike,common,{W},W,Instant,0,0,0,0,0,0,0,0,Target creature gets +1/+0 until end of turn.\nDraw a card.
WAR,Divine Arrow,common,{1}{W},W,Instant,0,0,0,0,0,0,0,0,Divine Arrow deals 4 damage to target attacking or blocking creature.
WAR,Enforcer Griffin,common,{4}{W},W,Creature,Griffin,3,4,0,0,0,0,0,Flying
WAR,Finale of Glory,mythic,{X}{W}{W},W,Sorcery,0,0,0,0,0,0,0,0,"Create X 2/2 white Soldier creature tokens with vigilance. If X is 10 or more, also create X 4/4 white Angel creature tokens with flying and vigilance."
WAR,Gideon Blackblade,mythic,{1}{W}{W},W,Planeswalker,Gideon,0,0,0,0,0,0,0,"As long as it's your turn, Gideon Blackblade is a 4/4 Human Soldier creature with indestructible that's still a planeswalker.\nPrevent all damage that would be dealt to Gideon Blackblade during your turn.\n[+1]: Up to one other target creature you control gains your choice of vigilance, lifelink, or indestructible until end of turn.\n[−6]: Exile target nonland permanent."
WAR,Gideon Blackblade,mythic,{1}{W}{W},W,Planeswalker,Gideon,0,0,0,0,0,0,0,"As long as it's your turn, Gideon Blackblade is a 4/4 Human Soldier creature with indestructible that's still a planeswalker.\nPrevent all damage that would be dealt to Gideon Blackblade during your turn.\n[+1]: Up to one other target creature you control gains your choice of vigilance, lifelink, or indestructible until end of turn.\n[−6]: Exile target nonland permanent."
