setCode,name,rarity,manaCost,colorIdentity,types,subtypes,power,toughness,quantity,nm,lp,p,foil,text
XLN,Adanto Vanguard,uncommon,{1}{W},W,Creature,"Vampire, Soldier",1,1,0,0,0,0,0,"As long as Adanto Vanguard is attacking, it gets +2/+0.\nPay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
XLN,Ashes of the Abhorrent,rare,{1}{W},W,Enchantment,0,0,0,0,0,0,0,0,"Players can't cast spells from graveyards or activate abilities of cards in graveyards.\nWhenever a creature dies, you gain 1 life."
XLN,Axis of Mortality,mythic,{4}{W}{W},W,Enchantment,0,0,0,0,0,0,0,0,"At the beginning of your upkeep, you may have two target players exchange life totals."
XLN,Bellowing Aegisaur,uncommon,{5}{W},W,Creature,Dinosaur,3,5,0,0,0,0,0,"Enrage — Whenever Bellowing Aegisaur is dealt damage, put a +1/+1 counter on each other creature you control."
XLN,Bishop of Rebirth,rare,{3}{W}{W},W,Creature,"Vampire, Cleric",3,4,0,0,0,0,0,"Vigilance\nWhenever Bishop of Rebirth attacks, you may return target creature card with mana value 3 or less from your graveyard to the battlefield."
XLN,Bishop's Soldier,common,{1}{W},W,Creature,"Vampire, Soldier",2,2,0,0,0,0,0,Lifelink
XLN,Bright Reprisal,uncommon,{4}{W},W,Instant,0,0,0,0,0,0,0,0,Destroy target attacking creature.\nDraw a card.
XLN,Demystify,common,{W},W,Instant,0,0,0,0,0,0,0,0,Destroy target enchantment.
XLN,Duskborne Skymarcher,uncommon,{W},W,Creature,"Vampire, Cleric",1,1,0,0,0,0,0,"Flying\n{W}, {T}: Target attacking Vampire gets +1/+1 until end of turn."
XLN,Emissary of Sunrise,uncommon,{2}{W},W,Creature,"Human, Cleric",2,1,0,0,0,0,0,"First strike\nWhen Emissary of Sunrise enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)"
XLN,Encampment Keeper,common,{W},W,Creature,Dog,1,1,0,0,0,0,0,"First strike\n{7}{W}, {T}, Sacrifice Encampment Keeper: Creatures you control get +2/+2 until end of turn."
XLN,Glorifier of Dusk,uncommon,{3}{W}{W},W,Creature,"Vampire, Soldier",4,4,0,0,0,0,0,Pay 2 life: Glorifier of Dusk gains flying until end of turn.\nPay 2 life: Glorifier of Dusk gains vigilance until end of turn.
XLN,Goring Ceratops,rare,{5}{W}{W},W,Creature,Dinosaur,3,3,0,0,0,0,0,"Double strike\nWhenever Goring Ceratops attacks, other creatures you control gain double strike until end of turn."
XLN,Imperial Aerosaur,uncommon,{3}{W},W,Creature,Dinosaur,3,3,0,0,0,0,0,"Flying\nWhen Imperial Aerosaur enters the battlefield, another target creature you control gets +1/+1 and gains flying until end of turn."
XLN,Imperial Lancer,uncommon,{W},W,Creature,"Human, Knight",1,1,0,0,0,0,0,Imperial Lancer has double strike as long as you control a Dinosaur.
XLN,Inspiring Cleric,uncommon,{2}{W},W,Creature,"Vampire, Cleric",3,2,0,0,0,0,0,"When Inspiring Cleric enters the battlefield, you gain 4 life."
XLN,Ixalan's Binding,uncommon,{3}{W},W,Enchantment,0,0,0,0,0,0,0,0,"When Ixalan's Binding enters the battlefield, exile target nonland permanent an opponent controls until Ixalan's Binding leaves the battlefield.\nYour opponents can't cast spells with the same name as the exiled card."
XLN,Kinjalli's Caller,common,{W},W,Creature,"Human, Cleric",0,3,0,0,0,0,0,Dinosaur spells you cast cost {1} less to cast.
XLN,Kinjalli's Sunwing,rare,{2}{W},W,Creature,Dinosaur,2,3,0,0,0,0,0,Flying\nCreatures your opponents control enter the battlefield tapped.
XLN,Legion Conquistador,common,{2}{W},W,Creature,"Vampire, Soldier",2,2,0,0,0,0,0,"When Legion Conquistador enters the battlefield, you may search your library for any number of cards named Legion Conquistador, reveal them, put them into your hand, then shuffle."
XLN,Legion's Judgment,common,{2}{W},W,Sorcery,0,0,0,0,0,0,0,0,Destroy target creature with power 4 or greater.
XLN,"Legion's Landing // Adanto, the First Fort",rare,{W},W,Enchantment,0,0,0,0,0,0,0,0,"When Legion's Landing enters the battlefield, create a 1/1 white Vampire creature token with lifelink.\nWhen you attack with three or more creatures, transform Legion's Landing."
XLN,"Legion's Landing // Adanto, the First Fort",rare,0,W,Land,0,0,0,0,0,0,0,0,"(Transforms from Legion's Landing.)\n{T}: Add {W}.\n{2}{W}, {T}: Create a 1/1 white Vampire creature token with lifelink."
XLN,Looming Altisaur,common,{3}{W},W,Creature,Dinosaur,1,7,0,0,0,0,0,0
XLN,"Mavren Fein, Dusk Apostle",rare,{2}{W},W,Creature,"Vampire, Cleric",2,2,0,0,0,0,0,"Whenever one or more nontoken Vampires you control attack, create a 1/1 white Vampire creature token with lifelink."
XLN,Paladin of the Bloodstained,common,{3}{W},W,Creature,"Vampire, Knight",3,2,0,0,0,0,0,"When Paladin of the Bloodstained enters the battlefield, create a 1/1 white Vampire creature token with lifelink."
XLN,Pious Interdiction,common,{3}{W},W,Enchantment,Aura,0,0,0,0,0,0,0,"Enchant creature\nWhen Pious Interdiction enters the battlefield, you gain 2 life.\nEnchanted creature can't attack or block."
XLN,Priest of the Wakening Sun,rare,{W},W,Creature,"Human, Cleric",1,1,0,0,0,0,0,"At the beginning of your upkeep, you may reveal a Dinosaur card from your hand. If you do, you gain 2 life.\n{3}{W}{W}, Sacrifice Priest of the Wakening Sun: Search your library for a Dinosaur card, reveal it, put it into your hand, then shuffle."
XLN,Pterodon Knight,common,{3}{W},W,Creature,"Human, Knight",3,3,0,0,0,0,0,Pterodon Knight has flying as long as you control a Dinosaur.
XLN,Queen's Commission,common,{2}{W},W,Sorcery,0,0,0,0,0,0,0,0,Create two 1/1 white Vampire creature tokens with lifelink.
XLN,Rallying Roar,uncommon,{2}{W},W,Instant,0,0,0,0,0,0,0,0,Creatures you control get +1/+1 until end of turn. Untap them.
XLN,Raptor Companion,common,{1}{W},W,Creature,Dinosaur,3,1,0,0,0,0,0,0
XLN,Ritual of Rejuvenation,common,{2}{W},W,Instant,0,0,0,0,0,0,0,0,You gain 4 life.\nDraw a card.
XLN,Sanguine Sacrament,rare,{X}{W}{W},W,Instant,0,0,0,0,0,0,0,0,You gain twice X life. Put Sanguine Sacrament on the bottom of its owner's library.
XLN,Settle the Wreckage,rare,{2}{W}{W},W,Instant,0,0,0,0,0,0,0,0,"Exile all attacking creatures target player controls. That player may search their library for that many basic land cards, put those cards onto the battlefield tapped, then shuffle."
XLN,Sheltering Light,uncommon,{W},W,Instant,0,0,0,0,0,0,0,0,"Target creature gains indestructible until end of turn. Scry 1. (Damage and effects that say ""destroy"" don't destroy the creature.)"
XLN,Shining Aerosaur,common,{4}{W},W,Creature,Dinosaur,3,4,0,0,0,0,0,Flying
XLN,Skyblade of the Legion,common,{1}{W},W,Creature,"Vampire, Soldier",1,3,0,0,0,0,0,Flying
XLN,Slash of Talons,common,{W},W,Instant,0,0,0,0,0,0,0,0,Slash of Talons deals 2 damage to target attacking or blocking creature.
XLN,Steadfast Armasaur,uncommon,{3}{W},W,Creature,Dinosaur,2,3,0,0,0,0,0,"Vigilance\n{1}{W}, {T}: Steadfast Armasaur deals damage equal to its toughness to target creature blocking or blocked by it."
