,category,set,Name,Listed Price,Market Price,over_under
18,Magic: The Gathering,Strixhaven: School of Mages,Dragon's Approach,1.0,2.92,-1.92
2,Magic: The Gathering,Theros Beyond Death,Island,1.0,1.5,-0.5
14,Magic: The Gathering,Modern Horizons,Snow-Covered Plains,0.95,1.32,-0.3700000000000001
19,Magic: The Gathering,Dominaria United,Forest (Showcase),0.69,0.9,-0.21000000000000008
21,Magic: The Gathering,Modern Horizons,Snow-Covered Forest,1.0,1.12,-0.1200000000000001
10,Magic: The Gathering,Core Set 2020,Shifting Ceratops,0.25,0.33,-0.08000000000000002
15,Magic: The Gathering,Wilds of Eldraine,Mountain (0265),0.3,0.33,-0.030000000000000027
3,Magic: The Gathering,Theros Beyond Death,Mountain,1.35,1.31,0.040000000000000036
5,Magic: The Gathering,Unfinity,Forest (239) (Borderless),0.8,0.76,0.040000000000000036
11,Magic: The Gathering,The Lost Caverns of Ixalan,Hidden Nursery,0.15,0.1,0.04999999999999999
9,Magic: The Gathering,Wilds of Eldraine,Picklock Prankster,0.25,0.16,0.09
17,Magic: The Gathering,Phyrexia: All Will Be One,Plains (262) - Full Art,0.4,0.31,0.09000000000000002
12,Magic: The Gathering,Unfinity,Swamp (237) (Borderless),0.95,0.85,0.09999999999999998
22,Magic: The Gathering,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,Mountain (0268),0.25,0.07,0.18
23,Magic: The Gathering,Dominaria United,Mountain (Showcase),1.3,1.09,0.20999999999999996
16,Magic: The Gathering,Modern Horizons,Snow-Covered Swamp,1.0,0.76,0.24
7,Magic: The Gathering,Wilds of Eldraine,Island (0263),0.9,0.54,0.36
13,Magic: The Gathering,Wilds of Eldraine,Plains (0262),0.75,0.33,0.42
8,Magic: The Gathering,The Lost Caverns of Ixalan,"Ojer Axonil, Deepest Might",11.0,10.57,0.4299999999999997
0,Magic: The Gathering,The Lost Caverns of Ixalan,Swamp (0289),1.12,0.43,0.6900000000000002
1,Magic: The Gathering,The Lost Caverns of Ixalan,Roaming Throne (Borderless),14.9,14.2,0.7000000000000011
6,Magic: The Gathering,The Lost Caverns of Ixalan,Preacher of the Schism,1.9,0.5,1.4
4,Magic: The Gathering,The Lost Caverns of Ixalan,"Inti, Seneschal of the Sun (Showcase)",2.7,0.86,1.8400000000000003
20,Magic: The Gathering,The Lost Caverns of Ixalan,Growing Rites of Itlimoc (Extended Art),9.0,4.6,4.4
